id,covidence_id,pathogen,first_author_first_name,first_author_surname,article_title,doi,issue,journal,page_first,page_last,paper_copy_only,qa_a3,qa_a4,qa_d5,qa_d6,qa_d7,qa_m1,qa_m2,volume,year_publication,article_label
b1490b0f1b2523fb10c30de385c75868,454,Zika virus,Qian,Zhang,Spread of Zika virus in the Americas,10.1073/pnas.1620161114,NA,PNAS,NA,NA,FALSE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,2017,Zhang 2017
d4f95e1d7c8a2be7da8ba800b8daaf61,483,Zika virus,José,Zambrana,Seroprevalence; risk factor; and spatial analyses of Zika virus infection after the 2016 epidemic in Managua; Nicaragua,10.1073/pnas.1804672115,37,PNAS,9294,9299,FALSE,NA,NA,Yes,Yes,No,Yes,Yes,115,2018,Zambrana 2018
129e48deef857098eb2836bb14b08db9,506,Zika virus,Shozo,Yokoyama,Possible roles of new mutations shared by asian and american Zika viruses,10.1093/molbev/msw270,3,Mol Biol Evol,525,534,FALSE,Yes,Yes,Yes,No,No,Yes,Yes,34,2017,Yokoyama 2017
2685ec034f21ac98bdfaaaac9ccfc652,538,Zika virus,Julien,Theze,Genomic Epidemiology Reconstructs the Introduction and Spread of Zika Virus in Central America and Mexico,10.1016/j.chom.2018.04.017,NA,Cell Host and Microbe,855,864,FALSE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,23,2018,Theze 2018
3db29b0eb07ec54e749db8c394da948f,556,Zika virus,Blanka,Tesla,Temperature drives Zika virus transmission: evidence from empirical and mathematical models,10.1098/rspb.2018.0795,NA,Proceedings of the Royal Society B: Biological Sciences,NA,NA,FALSE,Yes,Yes,Yes,Yes,No,Yes,Yes,285,2018,Tesla 2018
e683b20d3ace5ae880e863595a7078f5,564,Zika virus,Y.A,Terefe,Zika is a flavivirus transmitted to humans through either the bite of infected Aedes mosquitoes or sexual intercourse with infected individuals. In this paper; we present a mathematical model based on these two modes of transmission. Using the next-generation matrix method; a threshold parameter called basic reproduction number is determined. Sensitivity analysis of the basic reproduction number in terms of parameters involved in its formulation is discussed. A dynamically consistent nonstandard finite difference scheme is designed to replicate the properties of the continuous model. Numerical simulations of the nonstandard finite difference scheme that we have constructed show the number of infected humans due to sexual intercourse with Zika virus infectious individuals. The numerical simulations also support the theoretical analysis of the model.,10.1007/s12064-018-0272-7,2,Theory Biosci,209,218,FALSE,Yes,Yes,NA,NA,NA,Yes,Yes,137,2018,Terefe 2018
c63906f7ff8555c44504339cae791136,588,Zika virus,Deborah,Shutt,Estimatng the reproductive number total outbreak size and reporting rates for Zika epidemics in South and Central America,10.1016/j.epidem.2017.06.005,NA,Epidemics,63,79,FALSE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,21,2017,Shutt 2017
426aa2aea75d995ca5314b4fce6f78c3,659,Zika virus,E,Seruyange,Seroprevalence of Zika virus and Rubella virus IgG among blood donors in Rwanda and in Sweden,10.1002/jmv.25198,8,J Med Virol,1290,1296,FALSE,NA,NA,Yes,No,No,Yes,No,90,2018,Seruyange 2018
13e6e0baa7839057f9df04b839a2f46c,660,Zika virus,A,Septfons,Travel-associated and autochthonous Zika virus infection in mainland France; 1 January to 15 July 2016,10.2807/1560-7917.ES.2016.21.32.30315,32,Euro Surveillance,NA,NA,FALSE,Yes,Yes,Yes,No,No,Yes,Yes,21,2016,Septfons 2016
35037fe7b0c895dd256a25899e3e932a,674,Zika virus,C.R.,Sebrango-Rodriguez,Real-time parameter estimation of Zika outbreaks using model averaging,10.1017/S0950268817001078,NA,Epidemiol. Infect.,2313,2323,FALSE,Yes,Yes,Yes,No,No,Yes,No,145,2017,Sebrango-Rodriguez 2017
66b5dca69d56506c3f7753e9b0e2e547,705,Zika virus,Patricia L.,Schirmer,Zika virus infection in the Veterans Health Administration (VHA); 2015-2016,10.1371/journal.pntd.0006416,5,PLoS Negl Trop Dis,NA,NA,FALSE,Yes,Yes,Yes,Yes,No,Yes,Yes,12,2018,Schirmer 2018
abddad03b92b77f519b97998a106a8ac,717,Zika virus,Marialisa,Scatà,"The Impact of Heterogeneity and
Awareness in Modeling Epidemic
Spreading on Multiplex Networks",10.1038/srep37105,NA,Sci Rep,37105,NA,FALSE,Yes,Yes,NA,NA,NA,Yes,No,6,2016,Scatà 2016
2aaf84f22333d21778482b5444591452,728,Zika virus,R,Tedjo Sasmono,Zika Virus Seropositivity in 1–4-Year-Old Children; Indonesia; 2014,10.3201/eid2409.180582,9,Emerging Infectious Diseases,1740,1743,FALSE,NA,NA,Yes,Yes,No,Yes,No,24,2018,Tedjo Sasmono 2018
d1c8fa74274f86b9b9d63823639839f9,729,Zika virus,Sourav Kumar,Sasmal,Modeling the Spread of Zika Virus in a Stage-Structured Population: Effect of Sexual Transmission,10.1007/s11538-018-0510-7,NA,Bulletin of Mathematical Biology,3038,3067,FALSE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,80,2018,Sasmal 2018
bc91229f5ddf0b5f8987d8c6fba90289,790,Zika virus,Ticiane Henriques,Santa Rita,Association between suspected Zika virus disease during pregnancy and giving birth to a newborn with congenital microcephaly: a matched case–control study,10.1186/s13104-017-2796-1,457,BMC Research Notes,NA,NA,FALSE,Yes,No,Yes,Yes,No,Yes,Yes,10,2017,Santa Rita 2017
bb3ad16c40a86faba6a3c88534572237,816,Zika virus,Jorge L.,Salinas,Zika virus disease-associated Guillain-Barré syndrome—Barranquilla; Colombia 2015–2016,10.1016/j.jns.2017.09.001,NA,Journal of Neurological Sciences,272,277,FALSE,Yes,Yes,Yes,No,No,Yes,Yes,381,2017,Salinas 2017
ee91c0ab0659d374a528f3886de3fe72,845,Zika virus,Kriangsak,Ruchusatsawat,Long-term circulation of Zika virus in Thailand an observational study,10.1016/s1473-3099(18)30718-7,NA,Lancet Inf Dis,439,446,FALSE,Yes,Yes,Yes,Yes,No,Yes,No,19,2019,Ruchusatsawat 2019
3c0289911d911bae105ce5f728536c31,873,Zika virus,Eli S.,Rosenberg,Prevalence and incidence of Zika virus infection among household contacts of patients with Zika virus disease; Puerto Rico; 2016-2017,10.1093/infdis/jiy689,6,J Infect Dis,932,939,FALSE,Yes,Yes,Yes,Yes,No,Yes,No,220,2019,Rosenberg 2019
20b33325ec2e04f800032770a256b30e,890,Zika virus,D.P.,Rojas,Transmission of Zika virus (ZIKV) was first detected in Colombia in September 2015. As of April 2016; Colombia had reported over 65;000 cases of Zika virus disease (ZVD). We analysed daily surveillance data of ZVD cases reported to the health authorities of San Andres and Girardot; Colombia; between September 2015 and January 2016. ZVD was laboratory-confirmed by reverse transcription-polymerase chain reaction (RT-PCR) in the serum of acute cases within five days of symptom onset. We use daily incidence data to estimate the basic reproductive number (R0) in each population. We identified 928 and 1;936 reported ZVD cases from San Andres and Girardot; respectively. The overall attack rate for reported ZVD was 12.13 cases per 1;000 residents of San Andres and 18.43 cases per 1;000 residents of Girardot. Attack rates were significantly higher in females in both municipalities (p < 0.001). Cases occurred in all age groups with highest rates in 20 to 49 year-olds. The estimated R0 for the Zika outbreak was 1.41 (95% confidence interval (CI): 1.15-1.74) in San Andres and 4.61 (95% CI: 4.11-5.16) in Girardot. Transmission of ZIKV is ongoing in the Americas. The estimated R0 from Colombia supports the observed rapid spread.,10.2807/1560-7917.es.2016.21.28.30283,28,Euro Surveill,1,22,FALSE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,21,2016,Rojas 2016
360ce41004559fe9bae5ec63c796b14b,913,Zika virus,Isabel,Rodriguez-Barraquer,Impact of preexisting dengue immunity on Zika virus emergence in a dengue endemic region,10.1126/science.aav6618,NA,Science,607,610,FALSE,Yes,Yes,Yes,No,No,Yes,Yes,363,2019,Rodriguez-Barraquer 2019
d917570138bc8903afdbaa2f85ec3b58,924,Zika virus,F.,Rodhain,Arbovirus infections and viral haemorrhagic fevers in Uganda: a serological survey in Karamoja district; 1984,NA,6,Trans R Soc Trop Med Hyg,851,854,FALSE,Yes,Yes,Yes,No,No,Yes,No,83,1989,Rodhain 1989
5f51c8eb9cd239665614fd21c5cf9c68,927,Zika virus,J,Rocklov,Assessing Seasonal Risks for the Introduction and Mosquito-borne Spread of Zika Virus in Europe,10.1016/j.ebiom.2016.06.009,NA,EBioMedicine,250,256,FALSE,Yes,Yes,No,Yes,Yes,Yes,Yes,9,2016,Rocklov 2016
03e7ee71c8aef2a1e34f01c5d5270383,946,Zika virus,Julien,Riou,Improving early epidemiological assessment of emerging Aedes-transmitted epidemics using historical data,10.1371/journal.pntd.0006526,6,PLoS Negl Trop Dis,NA,NA,FALSE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12,2018,Riou 2018
4a1b4eb91bc7c144f5766c5022434ab3,947,Zika virus,Julien,Riou,The recent global dissemination of Chikungunya and Zika has fostered public health concern worldwide. To better understand the drivers of transmission of these two arboviral diseases; we propose a joint analysis of Chikungunya and Zika epidemics in the same territories; taking into account the common epidemiological features of the epidemics: transmitted by the same vector; in the same environments; and observed by the same surveillance systems. We analyse eighteen outbreaks in French Polynesia and the French West Indies using a hierarchical time-dependent SIR model accounting for the effect of virus; location and weather on transmission; and based on a disease specific serial interval. We show that Chikungunya and Zika have similar transmission potential in the same territories (transmissibility ratio between Zika and Chikungunya of 1.04 [95% credible interval: 0.97; 1.13]); but that detection and reporting rates were different (around 19% for Zika and 40% for Chikungunya). Temperature variations between 22 degrees C and 29 degrees C did not alter transmission; but increased precipitation showed a dual effect; first reducing transmission after a two-week delay; then increasing it around five weeks later. The present study provides valuable information for risk assessment and introduces a modelling framework for the comparative analysis of arboviral infections that can be extended to other viruses and territories.,10.1016/j.epidem.2017.01.001,NA,Epidemics,43,52,FALSE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,19,2017,Riou 2017
5337632b9a6fd060ef3c1fad1bb19084,1026,Zika virus,P,Suparit,A mathematical model for Zika virus transmission dynamics with a time-dependent mosquito biing rate,10.1186/s12976-018-0083-z,11,Theoretical Biology and Medical Modelling,NA,NA,FALSE,Yes,Yes,NA,NA,NA,Yes,No,15,2018,Suparit 2018
e578cf2b677926af400a1ab170403f1b,1028,Zika virus,Kaiyuan,Sun,Quantifying the risk of local Zika virus transmission in the contiguous US during the 2015-2016 ZIKV epidemic,10.1186/s12916-018-1185-5,1,BMC Med,195,NA,FALSE,No,No,No,Yes,No,Yes,Yes,16,2018,Sun 2018
9fe0bdcc0c0299550cef9a5f3f3efb1e,1043,Zika virus,Lorenzo,Subissi,Zika Virus Infection during Pregnancy and Effects on Early Childhood Development; French Polynesia; 2013–2016,10.3201/eid2410.172079,10,Emerging Infectious Diseases,1850,1858,FALSE,NA,NA,Yes,Yes,No,Yes,Yes,24,2018,Subissi 2018
513747d7433fd36aac44bda7d815a64a,1048,Zika virus,Ashley R.,Styczynski,Increased rates of Guillain-BarreÂ syndrome associated with Zika virus outbreak in the Salvador metropolitan area; Brazil,10.1371/journal.pntd.0005869,8,PLoS Negl Trop Dis,NA,NA,FALSE,Yes,No,Yes,Yes,No,Yes,yy,11,2017,Styczynski 2017
e473baea093f738af900c386559be04b,1093,Zika virus,Abdourahmane,Sow,Concurrent malaria and arbovirus infections in Kedougou; southeastern Senegal,10.1186/s12936-016-1100-5,47,Malaria Journal,NA,NA,FALSE,NA,NA,Yes,NA,NA,Yes,Yes,15,2016,Sow 2016
38febf5f0f615b804ba51b592507cfc1,1117,Zika virus,Angelo G.,Solimini,Outbreaks of arbovirus infections vectored by invasive Aedes albopictus have already occurred and are predicted to become increasingly frequent in Southern Europe. We present a probabilistic model to assess risk of arbovirus outbreaks based on incident cases worldwide; on the probability of arrival of infected travelers; and on the abundance of the vector species. Our results show a significant risk of Chikungunya outbreak in Rome from mid June to October in simulations with high human biting rates (i.e. when >/=50% of the population is bitten every day). The outbreak risk is predicted to be highest for Chikungunya and null for Zika. Simulated increase of incident cases in selected endemic countries has no major impact on the outbreak risk. The model correctly estimated the number of imported cases and can be easily adapted to other urban areas where Ae. albopictus is the only potential vector present.,10.1038/s41598-018-34664-5,1,Sci Rep,16435,NA,FALSE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,2018,Solimini 2018
ab74f3885726f18aaddae6d49fe605a6,1121,Zika virus,Mohaammed A,Soghaier,Evidence of pre-existing active Zika virus circulation in Sudan prior to 2012,10.1186/s13104-018-4027-9,NA,BMC Research Notes,NA,NA,FALSE,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,2018,Soghaier 2018
29e4a48f916644f974ef1a6e242c3625,1154,Zika virus,Amir,Siraj,Assessing the population at risk of Zika virus in Asia - is the emergency really over,10.1136/bmjgh-2017-000309,3,BMJ Global Health,NA,NA,FALSE,Yes,No,No,No,No,Yes,Yes,2,2017,Siraj 2017
c2bae5a1a8d67be5837d57e50da6e000,1236,Zika virus,Léo,Pomar,Maternal-fetal transmission and adverse perinatal outcomes in pregnant women infected with Zika virus: prospective cohort study in French Guiana,10.1136/bmj.k4431,NA,British Medical Journal,NA,NA,FALSE,No,No,Yes,Yes,No,No,No,NA,2018,Pomar 2018
d4d46aa2f58f4b9d69596b3c3d169bbc,1237,Zika virus,L,Pomar,Association between Zika virus and fetopathy: a prospective cohort study in French Guiana,10.1002/uog.17404,NA,Ultrasound Obstet Gynecol,729,NA,FALSE,NA,NA,Yes,Yes,No,Yes,Yes,49,2017,Pomar 2017
5d690c3245743df42d1015e299140af1,1308,Zika virus,T. Alex,Perkins,Model-based projections of Zika virus infections in childbearing women in the Americas,10.1038/NMICROBIOL.2016.126,NA,Nature Microbiology,NA,NA,FALSE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,2016,Perkins 2016
823b0110426caac52165b8eb91988deb,1326,Zika virus,Farah,Peña,Zika Virus Epidemic in Pregnant Women; Dominican Republic; 2016–2017,10.3201/eid2502.181054,2,Emerging Infectious Diseases,236,NA,FALSE,NA,NA,Yes,No,No,Yes,No,25,2019,Peña 2019
31118c6d905713b6a52db240bf0117df,1352,Zika virus,Boris,Pastorino,Low Zika virus seroprevalence in Vientiane; Laos; 2003–2015,10.4269/ajtmh.18-0439,3,American Journal of Tropical Medicine and Hygiene,639,642,FALSE,No,No,Yes,Yes,No,Yes,No,100,2019,Pastorino 2019
687726e7881b0ab6110aefb196ea5d73,1405,Zika virus,P.,Padmanabhan,Computational and Mathematical Methods to Estimate the Basic Reproduction Number and Final Size for Single-Stage and Multistage Progression Disease Models for Zika with Preventative Measures,10.1155/2017/4290825,NA,Computational and Mathematical Methods in Medicine,NA,NA,FALSE,Yes,No,NA,NA,NA,Yes,No,2017,2017,Padmanabhan 2017
f9f9ebff670b1bd3191d78ee4b6712e3,1411,Zika virus,Ana,Tellechea,Surveillance of microcephaly and selected brain anomalies in Argentina: Relationship with Zika virus and other congenital infections,10.1002/bdr2.1347,NA,Birth Defects Research,1016,NA,FALSE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,110,2018,Tellechea 2018
483ca6f607097d0f75d0bb10d8935136,1461,Zika virus,Saba,Villarroel,Zika virus epidemiology in Bolivia: A seroprevalence study in volunteer blood donors,10.1371/journal.pntd.0006239,3,PLoS Negl Trop Dis,NA,NA,FALSE,NA,NA,Yes,Yes,No,Yes,Yes,12,2018,Villarroel 2018
a7b919dea1bb1db736e5ac32b0fd159f,1466,Zika virus,C.m.,Saad-Roy,Estimation of Zika virus prevalence by appearance of microcephaly,10.1186/s12879-016-2076-z,1,BMC Infect Dis,754,NA,FALSE,Yes,Yes,NA,NA,NA,Yes,Yes,16,2016,Saad-Roy 2016
c4601d2608d04ca9dd915942280729ab,1467,Zika virus,C.m.,Saad-Roy,The effect of sexual transmission on Zika virus dynamics,10.1007/s00285-018-1230-1,NA,Mathematical Biology,1917,1941,FALSE,Yes,Yes,NA,NA,NA,Yes,Yes,77,2018,Saad-Roy 2018
9e3a32f583820313a4b6205dfb56c762,1473,Zika virus,F,Ryckebusch,Infection of a French Population of Aedes albopictus and of Aedes aegypti (Paea Strain) with Zika Virus Reveals Low Transmission Rates to These Vectors' Saliva,10.3390/ijms18112384,11,Int J Mol Sci,NA,NA,FALSE,Yes,Yes,Yes,Yes,No,Yes,Yes,18,2017,Ryckebusch 2017
726f2c96bb5cdc3fb7e77b4b9f167475,1474,Zika virus,Sadie,Ryan,Zika Virus Outbreak; Barbados; 2015–2016,10.4269/ajtmh.17-0978,6,American Journal of Tropical Medicine and Hygiene,1857,NA,FALSE,NA,NA,Yes,Yes,NA,Yes,Yes,98,2018,Ryan 2018
4373c8705f186f97e650dcd7d8576797,1496,Zika virus,Juan,Ospina,Stratifying the potential local transmission of Zika in municipalities of Antioquia; Colombia,10.1111/tmi.12924,10,Trop Med Int Health,1249,1265,FALSE,No,Yes,Yes,No,No,No,Yes,22,2017,Ospina 2017
1c430e2484a3caf5e9c3c94164a9b3ad,1508,Zika virus,Kathleen M.,O'Reilly,Projecting the end of the Zika virus epidemic in Latin America: a modelling analysis,10.1186/s12916-018-1158-8,1,BMC Med,180,NA,FALSE,Yes,Yes,Yes,Yes,Yes,No,No,16,2018,O'Reilly 2018
18ebd7552bd79306119cf025cc5a53f4,1534,Zika virus,Ángel,Muñoz,Could the Recent Zika Epidemic Have Been Predicted?,10.3389/fmicb.2017.01291,NA,Front Microbiol,NA,NA,FALSE,No,No,NA,NA,NA,Yes,Yes,8,2017,Muñoz 2017
e581278823146fa0428aaa5b586739a6,1579,Zika virus,Victor,Moreno,Role of short-term dispersal on the dynamics of Zika virus in an extreme idealized environment,10.1016/j.idm.2016.12.002,1,Infectious Disease Modelling,21,34,FALSE,Yes,Yes,NA,NA,NA,Yes,Yes,2,2017,Moreno 2017
5af162477267270d69bc6293da7ea5be,1618,Zika virus,Seyed M.,Moghadas,Asymptomatic Transmission and the Dynamics of Zika Infection,10.1038/s41598-017-05013-9,5829,Scientific Reports,NA,NA,FALSE,Yes,Yes,NA,NA,NA,Yes,Yes,7,2017,Moghadas 2017
94b5484c2f17ebf58b1db406635e3701,1628,Zika virus,P,Mitchell,Reassessing Serosurvey-Based Estimates of the Symptomatic Proportion of Zika Virus Infections,10.1093/aje/kwy189,1,American Journal of Epidemiology,206,213,FALSE,Yes,Yes,Yes,Yes,No,Yes,Yes,188,2019,Mitchell 2019
580013e18f8adcd1c91b966919a0c8a2,1674,Zika virus,Mm,Tsegaye,Sero-prevalence of yellow fever and related Flavi viruses in Ethiopia: a public health perspective,10.1186/s12889-018-5726-9,NA,BMC Public Health,1011,NA,FALSE,NA,NA,Yes,Yes,No,Yes,No,18,2018,Tsegaye 2018
0d8b5564a7742b227124ca04b24da9c8,1679,Zika virus,Nelson,Méndez,Zika virus disease; microcephaly and Guillain-Barré syndrome in Colombia: Epidemiological situation during 21 months of the Zika virus outbreak; 2015-2017,10.1186/s13690-017-0233-5,NA,Archives of Public Health,NA,NA,FALSE,Yes,Yes,Yes,Yes,No,Yes,Yes,75,2017,Méndez 2017
da28e4c16b36da0615f7d978a9072180,1797,Zika virus,Emily,Mcgibbon,Epidemiological Characteristics and Laboratory Findings of Zika Virus Cases in New York City; January 1; 2016–June 30; 2017,10.1089/vbz.2017.2223,7,Vector-borne and Zoonotic Diseases,382,389,FALSE,NA,NA,Yes,Yes,No,Yes,Yes,18,2018,Mcgibbon 2018
db158a669912bd5caad65e0e5d282ede,1821,Zika virus,G,Marini,"First outbreak of Zika virus in the continental United 
States: a modelling analysis",10.2807/1560-7917.ES.2017.22.37.30612,37,Eurosurveillance,NA,NA,FALSE,No,No,Yes,No,No,No,No,22,2017,Marini 2017
55f08c8ee5f50da76bc46fcf9ff6f749,1841,Zika virus,Carrie,Manore,"Defining the Risk of Zika and Chikungunya
Virus Transmission in Human Population
Centers of the Eastern United States","10.1371/
journal.pntd.0005255",1,PLOS Neglected Tropical Diseases,NA,NA,FALSE,Yes,Yes,NA,NA,NA,Yes,Yes,11,2017,Manore 2017
ff9ef743561a3c7392b0f0963841ad1c,1860,Zika virus,Maimuna S,Majumder,Utilizing Nontraditional Data Sources for Near Real-Time Estimation of Transmission Dynamics During the 2015-2016 Colombian Zika Virus Disease Outbreak,10.2196/publichealth.5814,1,JMIR PUBLIC HEALTH AND SURVEILLANCE,NA,NA,FALSE,Yes,Yes,Yes,Yes,No,Yes,No,2,2016,Majumder 2016
e244315e7515292b3fe782b6c0699497,1927,Zika virus,Matthew J,Lozier,Differences in Prevalence of Symptomatic Zika Virus Infection; by Age and Sex—Puerto Rico; 2016,10.1093/infdis/jix630,NA,The Journal of Infectious Diseases,1678,1689,FALSE,No,No,Yes,Yes,No,Yes,Yes,217,2018,Lozier 2018
6dc2fce2d2e4947821578aeda0bdd4af,1940,Zika virus,J,Lourenco,Epidemiological and ecological determinants of Zika virus transmission in an urban setting,10.7554/eLife.29820,NA,Elife,NA,NA,FALSE,Yes,Yes,Yes,Yes,No,Yes,Yes,6,2017,Lourenco 2017
ae19f6d85962f364230c22c0a2c38e0e,1941,Zika virus,J.,Lourenco,Epidemiology of the Zika Virus Outbreak in the Cabo Verde Islands; West Africa,10.1371/currents.outbreaks.19433b1e4d007451c691f138e1e67e8c,NA,PLoS Curr,NA,NA,FALSE,Yes,Yes,Yes,No,No,Yes,Yes,10,2018,Lourenco 2018
ccf90aa5f23939f52c9f993ad2bac702,1954,Zika virus,Ian S,Logan,Zika - how fast does this virus mutate,10.13918/j.issn.2095-8137.2016.2.110,2,Zoological Research,110,115,FALSE,No,No,Yes,No,No,No,No,37,2016,Logan 2016
a18450ee3d7621475fb715d73169dd9c,1955,Zika virus,Daniela,Loconsole,Seroprevalence of Dengue Virus; West Nile Virus; Chikungunya Virus; and Zika Virus in International Travelers Attending a Travel and Migration Center in 2015–2017; Southern Italy,10.1089/vbz.2017.2260,6,Vector-Borne and Zoonotic Diseases,331,334,FALSE,NA,NA,Yes,NA,NA,Yes,Yes,18,2018,Loconsole 2018
317694e27ce73a3c2bfb956dca2bce05,1993,Zika virus,J.G.,Olson,A survey for arboviral antibodies in sera of humans and animals in Lombok; Republic of Indonesia,10.1080/00034983.1983.11811687,2,Annals of Tropical Medicine and Parasitology,131,137,TRUE,NA,NA,No,No,No,Yes,No,77,1983,Olson 1983
4273b28aa448aa07c410056e73103548,2012,Zika virus,Omomayowa,Olawoyin,Effects of multiple transmission pathways on Zika dynamics,10.1016/j.idm.2018.11.003,NA,Infect Dis Model,331,344,FALSE,Yes,Yes,NA,NA,NA,Yes,Yes,3,2018,Olawoyin 2018
154097fbd3ce7359ffd01f244025a578,2024,Zika virus,Nicholas H.,Ogden,Risk of travel-related cases of Zika virus infection is predicted by transmission intensity in outbreak-affected countries,10.1186/s13071-017-1977-z,41,Parasites and Vectors,NA,NA,FALSE,Yes,Yes,Yes,Yes,No,Yes,Yes,10,2017,Ogden 2017
2d5a07b0a98111cc901d6768dd7ea094,2061,Zika virus,H,Nishiura,Transmission potential of Zika virus infection in the South Pacific,10.1016/j.ijid.2016.02.017,NA,Int J Infect Dis,95,97,FALSE,Yes,No,No,Yes,No,No,Yes,45,2016,Nishiura 2016
2c9eccfbbf797ecded9cd77bebf13e3f,2091,Zika virus,Eduardo Martins,Netto,High Zika Virus Seroprevalence in Salvador; Northeastern Brazil Limits the Potential for Further Outbreaks,10.1128/mBio.01390-17,6,Mbio,1390,NA,FALSE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,2017,Netto 2017
85b0920a3204bbf4626087eb0735f6f6,2132,Zika virus,K,Nah,Estimating risks of importation and local transmission of Zika virus infection,10.7717/peerj.1904,NA,PeerJ,1904,NA,FALSE,No,No,Yes,Yes,No,Yes,Yes,4,2016,Nah 2016
374877efe27fb6f57b3a41a66b00fbab,2302,Zika virus,Thomas,Langerak,Zika Virus Seroprevalence in Urban and Rural Areas of Suriname; 2017,10.1093/infdis/jiz063,NA,Journal of Infectious Diseases,28,31,FALSE,NA,NA,Yes,No,No,Yes,Yes,220,2019,Langerak 2019
