id,parameter_data_id,covidence_id,pathogen,parameter_type,parameter_value,exponent,parameter_unit,parameter_lower_bound,parameter_upper_bound,parameter_value_type,parameter_uncertainty_single_value,parameter_uncertainty_singe_type,parameter_uncertainty_lower_value,parameter_uncertainty_upper_value,parameter_uncertainty_type,cfr_ifr_numerator,cfr_ifr_denominator,distribution_type,distribution_par1_value,distribution_par1_type,distribution_par1_uncertainty,distribution_par2_value,distribution_par2_type,distribution_par2_uncertainty,method_from_supplement,method_moment_value,cfr_ifr_method,method_r,method_disaggregated_by,method_disaggregated,method_disaggregated_only,riskfactor_outcome,riskfactor_name,riskfactor_occupation,riskfactor_significant,riskfactor_adjusted,population_sex,population_sample_type,population_group,population_age_min,population_age_max,population_sample_size,population_country,population_location,population_study_start_day,population_study_start_month,population_study_start_year,population_study_end_day,population_study_end_month,population_study_end_year,genome_site,genomic_sequence_available,other_delay_start,other_delay_end,inverse_param,parameter_from_figure,parameter_class,ebola_variant,other_delay,article_qa_score
cebcf7f48339d805e97a93aed0e600c6,ae201a3656b0f4c2efcfe590553612f8,65,Ebola virus,Reproduction number (Basic R0),2.012,0,No units,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,Next generation matrix,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Unspecified,NA,NA,NA,NA,NA,Liberia,NA,29,Jun,2014,7,Oct,2014,NA,FALSE,NA,NA,FALSE,NA,Reproduction number,Unspecified,NA to NA,85.71428571428571
e81bf3fe88746fc1501a1c8cbb9ae832,dbb682af7834237cfe175f6efe4f91d2,104,Ebola virus,Human delay - Symptom Onset/Fever to Reporting,3.91,0,Days,NA,NA,Mean,NA,NA,3.84,3.98,CRI95%,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Population based,General population,0,NA,17318,Sierra Leone,NA,23,May,2014,31,Jan,2015,NA,FALSE,Symptom Onset/Fever,Reporting,FALSE,NA,Human delay,Unspecified,Symptom Onset/Fever to Reporting,75
e81bf3fe88746fc1501a1c8cbb9ae832,e6e3a6c5ad8831c9e4698b72174c101b,104,Ebola virus,Human delay - Symptom Onset/Fever to Reporting,4.2,0,Days,NA,NA,Mean,NA,NA,4.09,4.31,CRI95%,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Population based,General population,0,NA,17318,Sierra Leone,NA,23,May,2014,31,Jan,2015,NA,FALSE,Symptom Onset/Fever,Reporting,FALSE,NA,Human delay,Unspecified,Symptom Onset/Fever to Reporting,75
e81bf3fe88746fc1501a1c8cbb9ae832,764c1a49aecf94c68d7758a58fe65feb,104,Ebola virus,Severity - case fatality rate (CFR),74.2,0,Percentage (%),NA,NA,NA,NA,NA,72.6,75.5,CRI95%,2536,3422,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,Naive,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Population based,General population,0,NA,17318,Sierra Leone,NA,23,May,2014,31,Jan,2015,NA,FALSE,NA,NA,FALSE,NA,Severity,Unspecified,NA to NA,75
e81bf3fe88746fc1501a1c8cbb9ae832,e6f829095019028352edf7ddb435e79a,104,Ebola virus,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,NA,NA,NA,FALSE,FALSE,Death,Age;Other,NA,Significant,Not adjusted,Both,Population based,General population,0,NA,17318,Sierra Leone,NA,23,May,2014,31,Jan,2015,NA,FALSE,NA,NA,FALSE,NA,Risk factors,Unspecified,NA to NA,75
e81bf3fe88746fc1501a1c8cbb9ae832,9ad9ba702190ec445697c14010df280d,104,Ebola virus,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,NA,NA,NA,FALSE,FALSE,Death,Occupation;Sex,Healthcare,Not significant,Not adjusted,Both,Population based,General population,0,NA,17318,Sierra Leone,NA,23,May,2014,31,Jan,2015,NA,FALSE,NA,NA,FALSE,NA,Risk factors,Unspecified,NA to NA,75
d7cec7abc84a88b967550c8f1ac2210a,9ae004d3d75b4bf427d17ff9788d09bb,159,Ebola virus,"Reproduction number (Effective, Re)",NA,0,No units,0.62,1.38,Mean,NA,NA,0.62,1.38,Range,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,NA,Growth rate,Region;Time,TRUE,TRUE,NA,NA,NA,NA,NA,Unspecified,Population based,General population,NA,NA,NA,Guinea;Liberia;Sierra Leone,NA,25,Mar,2014,22,Mar,2015,NA,FALSE,NA,NA,FALSE,NA,Reproduction number,Unspecified,NA to NA,100
aca147e674cb889f9a8d04663d202be8,55b470fe63ef90e471e90d8aefd05743,163,Ebola virus,Human delay - Admission to Care/Hospitalisation to Discharge from Care/Hospital,9,0,Days,NA,NA,Median,NA,NA,6,14,Inter Quartile Range (IQR),NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,Other,NA,NA,NA,Sierra Leone,"Kerry Town, Western area rural district",5,Nov,2014,31,Mar,2015,NA,FALSE,Admission to Care/Hospitalisation,Discharge from Care/Hospital,FALSE,NA,Human delay,Zaire Ebola virus (EBOV),Admission to Care/Hospitalisation to Discharge from Care/Hospital,85.71428571428571
aca147e674cb889f9a8d04663d202be8,865d215b61e81e31ef9b948db0d16c9f,163,Ebola virus,Human delay - Admission to Care/Hospitalisation to Death,3,0,Days,NA,NA,Median,NA,NA,2,5,Inter Quartile Range (IQR),NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,Other,NA,NA,NA,Sierra Leone,"Kerry Town, Western area rural district",5,Nov,2014,31,Mar,2015,NA,FALSE,Admission to Care/Hospitalisation,Death,FALSE,NA,Human delay,Zaire Ebola virus (EBOV),Admission to Care/Hospitalisation to Death,85.71428571428571
af13aebe28aef34b91c549720288dfa4,f7dfe16590cdabbe1d0ae9b8885f09c3,163,Ebola virus,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,NA,NA,Age;Other;Sex,TRUE,FALSE,Death,Age;Other;Sex,Unspecified,Unspecified,Adjusted,Both,Hospital based,General population,NA,NA,263,Sierra Leone,"Kerry Town, Western area rural district",5,Nov,2014,31,Mar,2015,NA,FALSE,NA,NA,FALSE,NA,Risk factors,Zaire Ebola virus (EBOV),NA to NA,85.71428571428571
af13aebe28aef34b91c549720288dfa4,445cce70fba961b626914f63e2c9bd1b,163,Ebola virus,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,NA,NA,Age;Other;Sex,TRUE,FALSE,Death,Age;Other;Sex,Unspecified,Unspecified,Not adjusted,Both,Hospital based,Unspecified,NA,NA,263,Sierra Leone,"Kerry Town, Western area rural district",5,Nov,2014,31,Mar,2015,NA,FALSE,NA,NA,FALSE,NA,Risk factors,Zaire Ebola virus (EBOV),NA to NA,85.71428571428571
af13aebe28aef34b91c549720288dfa4,4b4dee631358e0ef8f4a24ed23332d5b,163,Ebola virus,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,NA,NA,Age;Other;Sex;Symptoms,TRUE,TRUE,Symptoms,Age;Other;Sex,NA,Unspecified,Adjusted,Both,Hospital based,Unspecified,NA,NA,137,Sierra Leone,"Kerry Town, Western area rural district",5,Nov,2014,31,Mar,2015,NA,FALSE,NA,NA,FALSE,NA,Risk factors,Zaire Ebola virus (EBOV),NA to NA,85.71428571428571
af13aebe28aef34b91c549720288dfa4,9e093520102e9e213ebda38865fce64b,163,Ebola virus,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,NA,NA,Age;Other;Sex;Symptoms,TRUE,TRUE,Symptoms,Age;Other;Sex,NA,Unspecified,Not adjusted,Both,Hospital based,Unspecified,NA,NA,137,Sierra Leone,"Kerry Town, Western area rural district",5,Nov,2014,31,Mar,2015,NA,FALSE,NA,NA,FALSE,NA,Risk factors,Zaire Ebola virus (EBOV),NA to NA,85.71428571428571
aa64b708b63b728b5a59deb11cd33486,33d8849c29d2d05bf31a306a178e70d4,199,Ebola virus,Mutations - evolutionary rate,0.96,-3,Substitutions/site/year,0.5,0.963,Mean,NA,NA,0.86,1.06,CRI95%,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,TRUE,End outbreak,NA,NA,Other,TRUE,FALSE,NA,NA,NA,NA,NA,Unspecified,Unspecified,Unspecified,NA,NA,NA,Sierra Leone,Sierra Leone,NA,May,2014,NA,Sep,2015,Whole genome,TRUE,NA,NA,FALSE,NA,Mutations,Unspecified,NA to NA,100
59106f78738c3b294b8d22fd5804621b,5497d0a1e3e0e7c68b4af03d50629bec,206,Ebola virus,"Reproduction number (Effective, Re)",NA,0,No units,1.1,2.13,Unspecified,NA,NA,1.1,2.13,Range,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,NA,Compartmental model,Time,TRUE,TRUE,NA,NA,NA,NA,NA,Unspecified,NA,NA,NA,NA,NA,Sierra Leone,NA,22,May,2014,3,Dec,2014,NA,FALSE,NA,NA,FALSE,NA,Reproduction number,Unspecified,NA to NA,57.14285714285714
50bce7b15d950e01e07a964f160efe3a,4dfe4d3a58101fef97cd45679a0e2fa3,241,Ebola virus,Human delay - incubation period,7,0,Days,NA,NA,Median,NA,NA,2,20,Range,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Community based,General population,0,70,116,Uganda,Bundibugyo district,29,Nov,2007,20,Feb,2008,NA,FALSE,NA,NA,FALSE,NA,Human delay,Bundibugyo virus (BDBV) ,NA to NA,80
50bce7b15d950e01e07a964f160efe3a,0de3b52d1846d0918f41e830b7f57f0f,241,Ebola virus,Attack rate,43,-5,No units,3,185,NA,NA,NA,3,185,Range,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,NA,NA,Age;Region;Sex,TRUE,FALSE,NA,NA,NA,NA,NA,Both,Community based,General population,0,70,116,Uganda,Bundibugyo,29,Nov,2007,20,Feb,2008,NA,FALSE,NA,NA,FALSE,NA,Attack rate,Bundibugyo virus (BDBV) ,NA to NA,80
50bce7b15d950e01e07a964f160efe3a,0741f36fb52eb2332e2af1e9ff3b5f3c,241,Ebola virus,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,Infection,Funeral;Hospitalisation;Other;Close contact,NA,Significant,Not adjusted,Both,Community based,General population,0,70,192,Uganda,Bundibugyo district,29,Nov,2007,20,Feb,2008,NA,FALSE,NA,NA,FALSE,NA,Risk factors,Bundibugyo virus (BDBV) ,NA to NA,80
50bce7b15d950e01e07a964f160efe3a,91c382878cc0b93527cb0006b8580007,241,Ebola virus,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,Infection,Funeral,NA,Significant,Adjusted,Both,Community based,General population,0,70,192,Uganda,Bundibugyo district,29,Nov,2007,20,Feb,2008,NA,FALSE,NA,NA,FALSE,NA,Risk factors,Bundibugyo virus (BDBV) ,NA to NA,80
0f821b8f1e046ac6ba66f80888c96bd5,4da247c5552f8752f7d7e15cc636ad1d,241,Ebola virus,Severity - case fatality rate (CFR),34,0,Percentage (%),29,100,NA,NA,NA,29,100,Range,39,116,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,Unspecified,NA,Region;Sex;Other,TRUE,FALSE,NA,NA,NA,NA,NA,Both,Community based,General population,0,70,116,Uganda,Bundibugyo district,29,Nov,2007,20,Feb,2008,NA,FALSE,NA,NA,FALSE,NA,Severity,Bundibugyo virus (BDBV) ,NA to NA,80
0f821b8f1e046ac6ba66f80888c96bd5,46c6493e840ef737b7a830be65fb281e,241,Ebola virus,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,Infection,Age;Contact with animal;Other;Sex,NA,Not significant,Not adjusted,Both,Community based,General population,0,70,192,Uganda,Bundibugyo district,29,Nov,2007,20,Feb,2008,NA,FALSE,NA,NA,FALSE,NA,Risk factors,Bundibugyo virus (BDBV) ,NA to NA,80
3d4b64ada3d9c3f3fedb38618801e1a2,de8de219a58320bbf28983088caa7b16,291,Ebola virus,Reproduction number (Basic R0),NA,0,No units,2.1,3.81,Median,NA,NA,2.1,3.81,Range,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,NA,Compartmental model,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Unspecified,Hospital based,NA,NA,NA,78,Sierra Leone,NA,25,May,2014,20,Jun,2014,NA,FALSE,NA,NA,FALSE,NA,Reproduction number,Unspecified,NA to NA,85.71428571428571
4acac0c10a2d67a99eb40807723c5e3c,9ff6176a2d3d55427e1c90616b1633b4,404,Ebola virus,Reproduction number (Basic R0),1.7981,0,No units,NA,NA,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,Compartmental model,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Unspecified,NA,NA,NA,NA,NA,Democratic Republic of the Congo,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,Reproduction number,Unspecified,NA to NA,100
4acac0c10a2d67a99eb40807723c5e3c,9ffcdac17846bace4aafac8ad51bb3d2,404,Ebola virus,"Reproduction number (Effective, Re)",0.7348,0,No units,NA,NA,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,Compartmental model,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Unspecified,NA,NA,NA,NA,NA,Democratic Republic of the Congo,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,Reproduction number,Unspecified,NA to NA,100
0b9e53953a6e7db46495e3876bdd1e7d,52e4d7961cc3a2748eeb4286241453bb,442,Ebola virus,Growth rate (r),NA,0,Per week,0.08,2.38,NA,NA,NA,0.08,2.38,Range,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Start outbreak,NA,NA,Region;Time,TRUE,TRUE,NA,NA,NA,NA,NA,Unspecified,Unspecified,Unspecified,NA,NA,NA,Uganda;Guinea;Liberia;Sierra Leone,Gueckedou;Montserrado;Margibi;Bomi;Grand Bassa;Western Area Urban;Western Area Rural;Bo;Bombali;Kenema;Port Loko,NA,NA,2000,NA,NA,2014,NA,FALSE,NA,NA,FALSE,NA,Growth rate,Unspecified,NA to NA,75
