parameter_type_short;parameter_type_full
delay_infectious_to_death;Human delay - Infectiousness to Death
delay_onset_to_discharge_inverse;Human delay - time in care (length of stay)  (inverse parameter)
delay_onset_to_recovery_inverse;Human delay - Symptom Onset/Fever to Recovery/non-Infectiousness  (inverse parameter)
delay_death_to_burial_inverse;Human delay - Death to Burial  (inverse parameter)
delay_death_to_burial;Human delay - Death to Burial
delay_exposure_to_quarantine;Human delay - Exposure/Infection to Quarantine
delay_onset_to_hospital_death;Human delay - Symptom Onset/Fever to Death in hospital
delay_onset_to_community_death;Human delay - Symptom Onset/Fever to Death in community
infectious_period_inverse;Human delay - infectious period  (inverse parameter)
delay_notification_to_death;Human delay - Reporting to Death
delay_notification_to_discharge;Human delay - Reporting to Discharge from Care/Hospital
delay_onset_to_notification;Human delay - Symptom Onset/Fever to WHO notification
delay_notification_to_discharge;Human delay - WHO notification to Discharge from Care/Hospital
delay_notification_to_death;Human delay - WHO notification to Death
delay_treatment_start_to_end;Human delay - Start of treatment to End of treatment
delay_careseeking_to_onset;Human delay - Health center visit to Symptom Onset/Fever
delay_test_to_admission;Human delay - Test to Admission to Care/Hospitalisation
delay_noninfectious_to_test_result;Human delay - Recovery/non-Infectiousness to Test result
delay_noninfectious_to_discharge;Human delay - Recovery/non-Infectiousness to Discharge from Care/Hospital
delay_exposure_to_contact_tracing;Human delay - Exposure/Infection to Contacted by Contact Tracing
tbd;Human delay - Exposure/Infection to Death/Recovery
tbd;Human delay - Admission to Care/Hospitalisation to Death/Recovery
delay_positive_to_negative_test;Human delay - Positive test to Negative test
delay_admission_to_negative_test;Human delay - Admission to Care/Hospitalisation to Negative test
delay_index_to_contacts_vaccination;Human delay - Index Case Diagnosis to Vaccination of Contacts
delay_suspected_to_death;Human delay - Suspected to Death
delay_admission_to_death;Human delay - Admission to Care/Hospitalisation to Death  (inverse parameter)
delay_admission_to_recovery;Human delay - Admission to Care/Hospitalisation to Recovery/non-Infectiousness  (inverse parameter)
delay_onset_to_death;Human delay - symptom onset>death
delay_onset_to_other;Human delay - time symptom to outcome (other)
delay_onset_to_death;Human delay - time symptom to outcome (death)
delay_onset_to_admission;Human delay - symptom onset>admission to care
delay_onset_to_discharge;Human delay - symptom onset>discharge/recovery
relative_cont_human_to_human;Relative contribution - human to human
delay_admission_to_death;Human delay - admission to care>death
delay_admission_to_discharge;Human delay - admission to care>discharge/recovery
seroprevalence_prnt;Seroprevalence - PRNT
delay_onset_to_careseeking;Human delay - time symptom to careseeking
tbd;Human delay - time symptom to outcome
seroprevalence_HAI_HI;Seroprevalence - HAI/HI
mutation_substitution;Mutations - substitution rate
delay_admission_to_discharge;Human delay - time in care
mutations_mutation_rate;Mutations - mutation rate
delay_onset_to_resolution;Human delay - symptom onset/fever to symptom resolution
delay_onset_to_specimen;Human delay - symptom onset/fever to specimen collection
delay_collection_to_result;Human delay - specimen collection to test result
delay_admission_to_resolution;Human delay - admission to care/hospitalisation to symptom resolution
delay_onset_to_diagnosis;Human delay - symptom onset/fever to sample collection/diagnosis
delay_onset_to_treatment_start;Human delay - symptom onset/fever to start of ribavirin treatment
delay_treatment_start_to_end;Human delay - start of ribavirin treatment to end of ribavirin treatment
delay_oxygen_start_to_end;Human delay - start of oxygen therapy to end of oxygen therapy
delay_antibac_start_to_end;Human delay - start of antibacterial therapy to end of antibacterial therapy
