Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Zika virus from a Southeast Asian perspective,"Wikan, N.; Smith, D. R.","Phylogenic evidence suggests that the strain of Zika virus causing an unprecedented outbreak of disease in the Americas had its origin in Southeast Asia, where reports of isolated cases of Zika virus infection have occurred since 2010. Why there has been no large outbreak of Zika infection in Southeast Asia remains unclear and whether such an outbreak will occur in the future is a question of significant concern. This review looks at Zika virus from a Southeast Asian perspective and highlights some of the possible scenarios with regards to Zika virus in this part of the world as well as highlighting some of the research questions that need to be urgently addressed.",2017,Jan,Asian Pac J Trop Med,10,1,01-May,28107856,10.1016/j.apjtm.2016.11.013,,#175,Wikan 2017,Exclusion reason: reports metrics from other papers (not original estimates or primary data); Extractor (2024-09-12 00:29:53)(Select): review; ,
Detection of Zika virus infection among asymptomatic pregnant women in the North of Peru,"Weilg, C.; Troyes, L.; Villegas, Z.; Silva-Caso, W.; Mazulis, F.; Febres, A.; Troyes, M.; Aguilar-Luis, M. A.; Del Valle-Mendoza, J.","OBJECTIVE: To report an outbreak of ZIKV infection among asymptomatic pregnant women during 2016 in the city of Jaen, Cajamarca. RESULTS: Zika virus RNA was detected in 3.2% (n = 36) of cases by RT-PCR. The mean age of patients positive for ZIKV infection was 29.6 years. 7 patients (19.4%) infected with ZIKV were in their first-trimester of gestation, 13 (36.1%) were in their second-trimester, and 16 (44%) were in their third-trimester. All of the infected pregnant women were asymptomatic. ZIKV infection remains a major public health issue that calls for constant epidemiological surveillance. It can cause the congenital Zika virus syndrome in the newborns of infected mothers. The lack of molecular diagnostic methods in isolated localities and the similarity of symptoms to other arboviral infections, lead to an under-diagnosis of this disease in endemic areas.",2018,May-18,BMC Res Notes,11,1,311,29776426,10.1186/s13104-018-3400-z,,#206,Weilg 2018,Exclusion reason: no report of parameters (including seroprevalence and other measures of interest) or transmission models or historical outbreaks; ,
Potential Zika virus spread within and beyond India,"Watts, A. G.; Huber, C.; Bogoch,, II; Brady, O. J.; Kraemer, M. U. G.; Khan, K.",,2018,Jan-01,J Travel Med,25,1,,30476232,10.1093/jtm/tay132,,#224,Watts 2018,Exclusion reason: no report of parameters (including seroprevalence and other measures of interest) or transmission models or historical outbreaks; ,
Epidemic potential of Zika virus in Australia: implications for blood transfusion safety,"Watson-Brown, P.; Viennet, E.; Mincham, G.; Williams, C. R.; Jansen, C. C.; Montgomery, B. L.; Flower, R. L. P.; Faddy, H. M.","BACKGROUND: Zika virus (ZIKV) is transfusion-transmissible. In Australia the primary vector, Aedes aegypti, is established in the north-east, such that local transmission is possible following importation of an index case, which has the potential to impact on blood transfusion safety and public health. We estimated the basic reproduction number (R 0 ) to model the epidemic potential of ZIKV in Australian locations, compared this with the ecologically similar dengue viruses (DENV), and examined possible implications for blood transfusion safety. STUDY DESIGN AND METHODS: Varying estimates of vector control efficiency and extrinsic incubation period, ""best-case"" and ""worst-case"" scenarios of monthly R 0 for ZIKV and DENV were modeled from 1996 to 2015 in 11 areas. We visualized the geographical distribution of blood donors in relation to areas with epidemic potential for ZIKV. RESULTS: Epidemic potential (R 0 > 1) existed for ZIKV and DENV throughout the study period in a number of locations in northern Australia (Cairns, Darwin, Rockhampton, Thursday Island, Townsville, and Brisbane) during the warmer months of the year. R 0 for DENV was greater than ZIKV and was broadly consistent with annual estimates in Cairns. Increased vector control efficiency markedly reduced the epidemic potential and shortened the season of local transmission. Australian locations that provide the greatest number of blood donors did not have epidemic potential for ZIKV. CONCLUSION: We estimate that areas of north-eastern Australia could sustain local transmission of ZIKV. This early contribution to understanding the epidemic potential of ZIKV may assist in the assessment and management of threats to blood transfusion safety.",2019,Feb,Transfusion,59,2,648-658,30618208,10.1111/trf.15095,,#225,Watson-Brown 2019,Exclusion reason: no report of parameters (including seroprevalence and other measures of interest) or transmission models or historical outbreaks; ,
Zika Virus and the World Health Organization Criteria for Determining Recent Infection Using Plaque Reduction Neutralization Testing,"Ward, M. J.; Alger, J.; Berrueta, M.; Bock, H.; Buekens, P.; Cafferata, M. L.; Ciganda, A.; Garcia, J.; Garcia, K.; Lopez, W.; Lorenzana, I.; Parham, L.; Wesson, D. M.","The recent Zika virus (ZIKV) epidemic swept across Latin America and the Caribbean, where dengue virus (DENV) is endemic. The antigenic similarities of these closely related flaviviruses left researchers and clinicians with challenges to interpret serological tests. Thirty-six women attending a prenatal clinic in Honduras and with positive DENV IgM enzyme-linked immunoabsorbent assays (ELISAs) were screened with a ZIKV immunoglobulin M ELISA, reverse transcription polymerase chain reaction for ZIKV and DENV 1-4, and plaque reduction neutralization tests (PRNTs) for ZIKV and DENV-2. Plaque reduction neutralization test results were interpreted using the World Health Organization (WHO) and Centers for Disease Control and Prevention (CDC) criteria. Using the WHO criteria of a PRNT90 titer >/= 20 and a 4-fold difference between ZIKV and DENV titers, we determined that 69.4% of samples had a recent ZIKV infection, compared with 5.6% using CDC criteria. The interpretation of ZIKV PRNTs in a DENV-endemic region is highly dependent on the choice of interpretation criteria.",2018,Sep,Am J Trop Med Hyg,99,3,780-782,29943723,10.4269/ajtmh.18-0237,,#235,Ward 2018,"Exclusion reason: Wrong study type (comment, letter, etc); Extractor (2024-09-16 19:41:27)(Select): evaluates criteria ; ",
A cluster of Zika virus infection among travellers returning to China from Samoa: a case tracing study,"Wang, G.; Zheng, W.; Zhu, S.; Wu, Z.; Lam, T. T.; Tong, Y.; Qi, R.","Background: A febrile man, who returned to China after a 9-day travel in Fiji and Samoa, was detected to be infected with Zika virus (ZIKV) at the port by Shenzhen Entry-Exit Inspection and Quarantine Bureau on 14 February 2016. Methods: The patient and his 32 travelling companions were traced for ZIKV infection. A standardised questionnaire was used to obtain the information on demographics, clinical manifestations and exposure history. Their samples were tested for ZIKV by quantitative reverse transcriptase polymerase chain reaction (qRT-PCR). The positive samples were subjected to viral culture and genome sequencing. Findings: Four of the 33 travellers were confirmed to be infected by ZIKV through qRT-PCR and viral culture, with an overall infection rate of 12%. Interestingly, one case (Patient 3) where high viremia levels were tested 4 days prior to symptoms. In addition, a 7-year-old girl was identified to have ZIKV infection on 17 February, but never had any manifestation. ZIKV was isolated from the four imported cases. Phylogenetic analysis based on whole genome sequences revealed that these isolates were similar to each other and close to the strain causing the French Polynesia outbreak in 2013. Interpretation: The travellers should be informed of the high risk for ZIKV infection during their stay in areas with active transmission and measures to prevent mosquito bites.",2018,Jan-01,J Travel Med,25,1,,29718403,10.1093/jtm/tay022,,#255,Wang 2018,"Exclusion reason: case report or case study (i.e. reports on less than 10 cases, but this threshold can be pathogen dependent); ",
"Guillain-Barre syndrome during the Zika virus outbreak in Sucre, Colombia, 2016","Villamil-Gomez, W. E.; Sanchez-Herrera, A. R.; Hernandez, H.; Hernandez-Iriarte, J.; Diaz-Ricardo, K.; Castellanos, J.; de Jesus Villamil-Macareno, W.; Rodriguez-Morales, A. J.",,2017,Mar - Apr,Travel Med Infect Dis,16,,62-63,28347781,10.1016/j.tmaid.2017.03.012,,#272,Villamil-Gomez 2017,"Exclusion reason: Wrong study type (comment, letter, etc); ",letter to the editor
"Epidemic Potential for Local Transmission of Zika Virus in 2015 and 2016 in Queensland, Australia","Viennet, E.; Mincham, G.; Frentiu, F. D.; Jansen, C. C.; Montgomery, B. L.; Harley, D.; Flower, R. L.; Williams, C. R.; Faddy, H. M.","INTRODUCTION: Zika virus could be transmitted in the state of Queensland, Australia, in parts of the state where the mosquito vectors are established. METHODS: We assessed the epidemic potential of Zika in Queensland from January 2015 to August 2016, and estimate the epidemic potential from September to December 2016, by calculating the temperature-dependent relative vectorial capacity (rVc), based on empirical and estimated parameters. RESULTS: Through 2015, we estimated a rVc of 0.119, 0.152, 0.170, and 0.175, respectively in the major cities of Brisbane, Rockhampton, Cairns, and Townsville. From January to August 2016, the epidemic potential trend was similar to 2015, however the highest epidemic potential was in Cairns. During September to November 2016, the epidemic potential is consistently the highest in Cairns, followed by Townsville, Rockhampton and Brisbane. Then, from November to December 2016, Townsville has the highest estimated epidemic potential. DISCUSSION: We demonstrate using a vectorial capacity model that ZIKV could have been locally transmitted in Queensland, Australia during 2015 and 2016. ZIKV remains a threat to Australia for the upcoming summer, during the Brazilian Carnival season, when the abundance of vectors is relatively high. Understanding the epidemic potential of local ZIKV transmission will allow better management of threats to blood safety and assessment of public health risk.",2016,Dec-13,PLoS Curr,8,,,28123859,10.1371/currents.outbreaks.73d82b08998c6d729c41ef6cdcc80176,,#280,Viennet 2016,Exclusion reason: no report of parameters (including seroprevalence and other measures of interest) or transmission models or historical outbreaks; ,
Risk Factors Associated With the Ophthalmoscopic Findings Identified in Infants With Presumed Zika Virus Congenital Infection,"Ventura, C. V.; Maia, M.; Travassos, S. B.; Martins, T. T.; Patriota, F.; Nunes, M. E.; Agra, C.; Torres, V. L.; van der Linden, V.; Ramos, R. C.; Rocha, M. A.; Silva, P. S.; Ventura, L. O.; Belfort, R., Jr.","IMPORTANCE: The Zika virus (ZIKV) might cause microcephaly and ophthalmoscopic findings in infants of mothers infected during pregnancy. OBJECTIVE: To assess and identify possible risk factors for ophthalmoscopic findings in infants born with microcephaly and a presumed clinical diagnosis of ZIKV intrauterine infection. DESIGN, SETTING, AND PARTICIPANTS: We conducted a cross-sectional study at the Altino Ventura Foundation in Recife, Brazil, that included 40 infants with microcephaly born in Pernambuco state, Brazil, between May and December 2015. Toxoplasmosis, rubella, cytomegalovirus, syphilis, and human immunodeficiency virus were ruled out in all of them. Testing of cerebrospinal fluid for ZIKV using IgM antibody-capture enzyme-linked immunosorbent assay was performed in 24 of 40 infants (60.0%). The infants and mothers underwent ocular examinations. The infants were divided into 2 groups, those with and without ophthalmoscopic alterations, for comparison. MAIN OUTCOMES AND MEASURES: Identification of risk factors for ophthalmoscopic findings in infants born with microcephaly and ZIKV intrauterine infection. RESULTS: Among the 40 infants, the mean (SD) age was 2.2 (1.2) months (range, 0.1-7.3 months). Of the 24 infants tested, 100% had positive results for ZIKV infection: 14 of 22 infants (63.6%) from the group with ophthalmoscopic findings and 10 of 18 infants (55.6%) from the group without ophthalmoscopic findings. The major symptoms reported in both groups were rash by 26 mothers (65.0%), fever by 9 mothers (22.5%), headache by 9 mothers (22.5%), and arthralgia by 8 mothers (20.0%). No mothers reported conjunctivitis or other ocular symptoms during pregnancy or presented signs of uveitis at the time of examination. Thirty-seven eyes (46.3%) of 22 infants (55.0%) had ophthalmoscopic alterations. Ten mothers (71.4%) of infants with ocular findings reported symptoms during the first trimester (frequency, 0.48; 95% CI, 0.02-0.67; P = .04). A difference was also observed between the groups of infants with and without ocular findings regarding the cephalic perimeter: mean (SD) of 28.8 (1.7) and 30.3 (1.5), respectively (frequency, -1.50; 95% CI, -2.56 to -0.51; P = .004). CONCLUSIONS AND RELEVANCE: Ocular involvement in infants with presumed ZIKV congenital infection were more often seen in infants with smaller cephalic diameter at birth and in infants whose mothers reported symptoms during the first trimester.",2016,Aug-01,JAMA Ophthalmol,134,8,912-8,27228275,10.1001/jamaophthalmol.2016.1784,,#300,Ventura 2016,Exclusion reason: no report of parameters (including seroprevalence and other measures of interest) or transmission models or historical outbreaks; ,
Impact of the 2016 Ecuador Earthquake on Zika Virus Cases,"Vasquez, D.; Palacio, A.; Nunez, J.; Briones, W.; Beier, J. C.; Pareja, D. C.; Tamariz, L.","OBJECTIVES: To evaluate the impact of the April 2016 7.8-magnitude earthquake in Ecuador on the incidence of Zika virus (ZIKV) cases. METHODS: We used the national public health surveillance system for reportable transmissible conditions and included suspected and laboratory-confirmed ZIKV cases. We compared the number of cases before and after the earthquake in areas closer to and farther from the epicenter. RESULTS: From January to July 2016, 2234 patients suspected of having ZIKV infection were reported in both affected and control areas. A total of 1110 patients had a reverse transcription-polymerase chain reaction assay, and 159 were positive for ZIKV. The cumulative incidence of ZIKV in the affected area was 11.1 per 100 000 after the earthquake. The odds ratio of having ZIKV infection in those living in the affected area was 8.0 (95% CI = 4.4, 14.6; P < .01) compared with the control area and adjusted for age, gender, province population, and number of government health care facilities. CONCLUSIONS: A spike in ZIKV cases occurred after the earthquake. Patients in the area closest to the epicenter had a delay in seeking care.",2017,Jul,Am J Public Health,107,7,1137-1142,28520489,10.2105/ajph.2017.303769,,#317,Vasquez 2017,Exclusion reason: no report of parameters (including seroprevalence and other measures of interest) or transmission models or historical outbreaks; ,
Skin manifestations are common and associated with a higher prevalence of congenital abnormalities in Zika virus infection,"van den Worm, L.; Khumalo, N. P.",,2017,Dec,Int J Dermatol,56,12,1470-1473,28737215,10.1111/ijd.13700,,#346,vandenWorm 2017,"Exclusion reason: Wrong study type (comment, letter, etc); ",
Reproduction numbers of infectious disease models,"van den Driessche, P.","This primer article focuses on the basic reproduction number, 0 , for infectious diseases, and other reproduction numbers related to 0 that are useful in guiding control strategies. Beginning with a simple population model, the concept is developed for a threshold value of 0 determining whether or not the disease dies out. The next generation matrix method of calculating 0 in a compartmental model is described and illustrated. To address control strategies, type and target reproduction numbers are defined, as well as sensitivity and elasticity indices. These theoretical ideas are then applied to models that are formulated for West Nile virus in birds (a vector-borne disease), cholera in humans (a disease with two transmission pathways), anthrax in animals (a disease that can be spread by dead carcasses and spores), and Zika in humans (spread by mosquitoes and sexual contacts). Some parameter values from literature data are used to illustrate the results. Finally, references for other ways to calculate 0 are given. These are useful for more complicated models that, for example, take account of variations in environmental fluctuation or stochasticity.",2017,Aug,Infect Dis Model,2,3,288-303,29928743,10.1016/j.idm.2017.06.002,,#349,vandenDriessche 2017,Exclusion reason: wrong pathogen or pathogen epidemiology or transmission not main focus; Extractorá (2019-10-31 23:29:27)(Select): report estimated R0; ,
"Clinical and nerve conduction features in Guillain-Barre syndrome associated with Zika virus infection in Cucuta, Colombia","Uncini, A.; Gonzalez-Bravo, D. C.; Acosta-Ampudia, Y. Y.; Ojeda, E. C.; Rodriguez, Y.; Monsalve, D. M.; Ramirez-Santana, C.; Vega, D. A.; Paipilla, D.; Torres, L.; Molano-Gonzalez, N.; Osorio, J. E.; Anaya, J. M.","BACKGROUND AND PURPOSE: Zika virus (ZIKV) infection has been associated with an increased incidence of Guillain-Barre syndrome (GBS) but the relative frequency of acute inflammatory demyelinating polyradiculoneuropathy (AIDP) and axonal GBS subtypes is controversial. METHODS: Twenty GBS patients diagnosed according to the Brighton criteria during the ZIKV outbreak in Cucuta, Colombia, were evaluated clinically and electrophysiologically. The electrodiagnosis of GBS subtypes was made according to a recently described criteria set that demonstrated a high diagnostic accuracy on the basis of a single test. The electrophysiological features of 34 Italian AIDP patients were used as control. RESULTS: All patients had symptoms compatible with ZIKV infection before the onset of GBS and ZIKV infection was laboratory confirmed through a plaque reduction neutralization test (PRNT90 ) in 100% of patients. The median time from onset of ZIKV infection symptoms to GBS was 5 days (interquartile range 1-6 days). Cranial nerve palsy was present in 85% of patients (facial palsy in 75%, bulbar nerve involvement in 60%), autonomic dysfunction in 85%, and 50% of patients required invasive mechanical ventilation. AIDP was diagnosed in 70% of patients. 40% of nerves of AIDP patients showed a prevalent distal demyelinating involvement but this pattern was not different from the Italian AIDP patients without ZIKV infection. CONCLUSIONS: Guillain-Barre syndrome associated with ZIKV infection in Cucuta is characterized by a high frequency of cranial nerve involvement, autonomic dysfunction and requirement of mechanical ventilation indicating an aggressive and severe course. AIDP is the most frequent electrophysiological subtype. Demyelination is prevalent distally but this pattern is not specific for ZIKV infection.",2018,Apr,Eur J Neurol,25,4,644-650,29266602,10.1111/ene.13552,,#379,Uncini 2018,Exclusion reason: no report of parameters (including seroprevalence and other measures of interest) or transmission models or historical outbreaks; ,
The 2016 Singapore Zika virus outbreak did not cause a surge in Guillain-Barre syndrome,"Umapathi, T.; Kam, Y. W.; Ohnmar, O.; Ng, B. C. J.; Ng, Y.; Premikha, M.; Leo, Y. S.; Ng, L. F. P.","Although individuals with Zika virus (ZIKV) antibodies were reported in Malaya in mid-1950s, entomological and human surveillance in Singapore did not identify autochthonous transmission until the outbreak of August-November, 2016. A total of 455 cases from 15 separate clusters were identified. We asked if this ZIKV outbreak increased the incidence of Guillain-Barre syndrome (GBS) and aimed to characterize these cases. Eleven GBS cases, consecutively enrolled into our prospective GBS database from onset to 4 weeks after outbreak, and six controls, comprising three GBS patients enrolled before outbreak and three non-GBS patients, were examined for evidence of recent ZIKV infection. We performed serum, urine ZIKV RT-PCR, ZIKV serology, and virus neutralization assays, accounting for cross-reaction and co-infection with dengue (DENV). We found five GBS cases with only serological evidence of recent ZIKV infection (including one ZIKV-DENV co-infection). A temporal relationship with ZIKV outbreak was unlikely as two cases were GBS controls enrolled 3 months before outbreak. None reported symptoms of ZIKV infection. In addition, compared to last 10 years the national number of GBS hospitalizations did not increase during and immediately after outbreak. We conclude the 2016 Singapore ZIKV outbreak did not cause a change in GBS epidemiology.",2018,Sep,J Peripher Nerv Syst,23,3,197-201,30070025,10.1111/jns.12284,,#380,Umapathi 2018,Exclusion reason: no report of parameters (including seroprevalence and other measures of interest) or transmission models or historical outbreaks; ,
Eye Findings in Infants With Suspected or Confirmed Antenatal Zika Virus Exposure,"Tsui, I.; Moreira, M. E. L.; Rossetto, J. D.; Vasconcelos, Z.; Gaw, S. L.; Neves, L. M.; Zin, O. A.; Haefeli, L.; Silveira Filho, J. C. B.; Gomes, S. C., Jr.; Adachi, K.; Pone, Mvds; Pone, S. M.; Pereira, J. P., Jr.; Belfort, R.; Arumugaswami, V.; Brasil, P.; Nielsen-Saines, K.; Zin, A. A.",": media-1vid110.1542/5804915134001PEDS-VA_2018-1104Video Abstract OBJECTIVES: To characterize ophthalmic manifestations of confirmed or suspected antenatal Zika virus (ZIKV) exposure. METHODS: Infants with antenatal ZIKV exposure were referred for evaluation during the 2015-2016 Rio de Janeiro outbreak. Mothers with symptomatic ZIKV infection during pregnancy and/or infants with microcephaly or other findings that were suggestive of suspected antenatal exposure were tested with reverse transcriptase polymerase chain reaction (RT-PCR). Complete eye examinations were performed by pediatric ophthalmologists between January 2016 and February 2017. The main outcome measure was eye abnormalities in RT-PCR-positive and suspected (ie, not tested or RT-PCR-negative) antenatal ZIKV cases. RESULTS: Of 224 infants, 189 had RT-PCR testing performed. Of 189 patients, 156 had positive RT-PCR results in their blood, urine, and/or placenta. Of 224 infants, 90 had central nervous system (CNS) abnormalities, including microcephaly (62 infants). Eye abnormalities were present in 57 of 224 (25.4%) infants. Optic nerve (44 of 57; 77.2%) and retina abnormalities (37 of 57; 64.9%) were the most common. The group with suspected ZIKV infection (68 infants) had proportionally more eye (36.8% vs 20.5%; P = .022) and CNS abnormalities (68.3% vs 28.1%; P = .008), likely because of referral patterns. Eye abnormalities consistent with ZIKV infection were clinically comparable in both RT-PCR-positive and unconfirmed groups, including 4 RT-PCR-positive infants of 5 without any CNS abnormalities. CONCLUSIONS: Similar eye manifestations were identified regardless of laboratory confirmation. Well-appearing infants were also found to have eye abnormalities. Therefore, all infants born after ZIKV outbreaks should be universally screened for eye abnormalities.",2018,Oct,Pediatrics,142,4,,30213843,10.1542/peds.2018-1104,,#397,Tsui 2018,Exclusion reason: no report of parameters (including seroprevalence and other measures of interest) or transmission models or historical outbreaks; ,
