id,parameter_data_id,covidence_id,parameter_type,parameter_unit,exponent,parameter_value,parameter_value_type,parameter_uncertainty_lower_value,parameter_uncertainty_upper_value,parameter_uncertainty_type,parameter_uncertainty_single_value,parameter_uncertainty_singe_type,parameter_lower_bound,parameter_upper_bound,genome_site,case_definition,cfr_ifr_denominator,cfr_ifr_method,cfr_ifr_numerator,data_available,distribution_par1_type,distribution_par1_uncertainty,distribution_par1_value,distribution_par2_type,distribution_par2_uncertainty,distribution_par2_value,distribution_type,genomic_sequence_available,inverse_param,inverse_param_2,method_disaggregated,method_disaggregated_by,method_disaggregated_only,method_from_supplement,method_moment_value,method_r,name_data_entry,parameter_statistical_approach,parameter_from_figure,population_age_max,population_age_min,population_country,population_group,population_location,population_sample_size,population_sample_type,population_sex,population_study_end_day,population_study_end_month,population_study_end_year,population_study_start_day,population_study_start_month,population_study_start_year,r_pathway,riskfactor_adjusted,riskfactor_name,riskfactor_occupation,riskfactor_outcome,riskfactor_significant,seroprevalence_adjusted,third_sample_param_yn,trimester_exposed,urban_rural_area,article_id,parameter_class,parameter_bounds,comb_uncertainty_type,comb_uncertainty,population_country_original,delay_short,genomic_lineage,prnt_on_elisa,metaanalysis_inclusion,women_or_infants,pregnancy_outcome_type,survey_start_date,survey_end_date,survey_date
a61a014f4cb51abe3475d8d0b31a9841,b8adc6a7e436b949395db76c2f1187a5,268,Reproduction number (Basic R0),No units,0,2.33,Maximum likelihood,1.97,2.97,95% CI,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,TRUE,"Other, Region",FALSE,FALSE,Start outbreak,Growth rate,Anna Vicco,Estimated model parameter,FALSE,NA,NA,Multi-country: Brazil and Colombia,NA,Rio de Janeiro,NA,NA,NA,NA,NA,NA,18,Oct,2015,Vector-human,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,6,Reproduction number,NA,95% CI,1.97 - 2.97,"Brazil, Colombia",NA,NA,FALSE,NA,NA,NA,18 Oct 2015,Unspecified,18 Oct 2015 - Unspecified
ee934959539e091ce1336413de058608,ae0c198afd81a7e6f3873b1d83153451,390,Reproduction number (Basic R0),No units,0,NA,Unspecified,NA,NA,NA,NA,NA,1.24,1.47,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,TRUE,Method,TRUE,FALSE,Unspecified,Compartmental model,Anna Vicco,Estimated model parameter,FALSE,NA,NA,United States,Persons under investigation,Florida,NA,Population based,Unspecified,29,Sep,2016,19,Jul,2016,Other,NA,NA,NA,NA,NA,NA,FALSE,Unspecified,Unspecified,13,Reproduction number,1.24 - 1.47,NA,NA,United States,NA,NA,FALSE,NA,NA,NA,19 Jul 2016,29 Sep 2016,19 Jul 2016 - 29 Sep 2016
c602375a042ba9b694f322f42f98a7e0,5794a27dc5afc3fe24ce26721073360a,390,Human delay - infectious period (inverse parameter),Per day,0,NA,Unspecified,NA,NA,NA,NA,NA,0.02,0.1,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,TRUE,FALSE,TRUE,"Method, Other",TRUE,FALSE,Unspecified,Compartmental model,Richard Sheppard,Estimated model parameter,FALSE,NA,NA,United States,Persons under investigation,Florida,NA,Population based,Unspecified,29,Sep,2016,19,Jul,2016,NA,NA,NA,NA,NA,NA,NA,FALSE,Unspecified,Unspecified,2,Human delay,0.02 - 0.1,NA,NA,United States,Infectious period,NA,FALSE,NA,NA,NA,19 Jul 2016,29 Sep 2016,19 Jul 2016 - 29 Sep 2016
b44921073b49d6abdae772e0c41017b0,e7f8faf6e5963dceac6fdc6e8d3ed8f4,422,Reproduction number (Basic R0),No units,0,3.8,Mean,2.4,5.6,95% CI,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,Unspecified,Other,Rob Johnson,Estimated model parameter,FALSE,NA,NA,Colombia,Persons under investigation,Barranquilla,359,Hospital based,Unspecified,NA,Nov,2015,1,Oct,2015,Other,NA,NA,NA,NA,NA,NA,FALSE,NA,Urban area,6,Reproduction number,NA,95% CI,2.4 - 5.6,Colombia,NA,NA,FALSE,NA,NA,NA,1 Oct 2015,Nov 2015,1 Oct 2015 - Nov 2015
b44921073b49d6abdae772e0c41017b0,015540c3b59561d38db06fc501b42ca8,422,Relative contribution - sexual,Percentage (%),0,23,Unspecified,1,47,95% CI,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,Unspecified,NA,Rob Johnson,Estimated model parameter,FALSE,NA,NA,Colombia,Persons under investigation,Barranquilla,359,Hospital based,Unspecified,NA,Nov,2015,1,Oct,2015,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Urban area,6,Relative contribution,NA,95% CI,0.01 - 0.47,Colombia,NA,NA,FALSE,NA,NA,NA,1 Oct 2015,Nov 2015,1 Oct 2015 - Nov 2015
b44921073b49d6abdae772e0c41017b0,495102075691889b75370af57e375fe6,422,Growth rate (r),Per day,0,0.076,Unspecified,0.066,0.087,95% CI,NA,NA,0.071,0.111,NA,NA,NA,NA,NA,Unspecified,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,Unspecified,NA,Rob Johnson,Estimated model parameter,FALSE,NA,NA,Colombia,Persons under investigation,Barranquilla,359,Hospital based,Unspecified,NA,Nov,2015,1,Oct,2015,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Urban area,6,Growth rate,0.071 - 0.111,95% CI,0.066 - 0.087,Colombia,NA,NA,FALSE,NA,NA,NA,1 Oct 2015,Nov 2015,1 Oct 2015 - Nov 2015
9c04dfe6a2f9acb363185a96d87928d1,a4d527401338d508b74aad35a668e24e,430,Human delay - latent period (inverse parameter),No units,0,0.04,Maximum likelihood,0.02,0.07,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,Mid outbreak,NA,Anna-Maria Hartner,Estimated model parameter,FALSE,NA,NA,Colombia,Unspecified,NA,NA,Unspecified,Unspecified,NA,NA,2016,NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Unspecified,5,Human delay,NA,Other,0.02 - 0.07,Colombia,Latent period,NA,FALSE,NA,NA,NA,2015,2016,2015 - 2016
9c04dfe6a2f9acb363185a96d87928d1,776e026eb4a84b6f14c119089b893e0c,430,Mosquito delay - extrinsic incubation period (inverse parameter),No units,0,0.0038,Maximum likelihood,0.0013,0.0144,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,Mid outbreak,NA,Anna-Maria Hartner,Estimated model parameter,FALSE,NA,NA,Colombia,Unspecified,NA,NA,Unspecified,Unspecified,NA,NA,2016,NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Unspecified,5,Mosquito,NA,Other,0.0013 - 0.0144,Colombia,NA,NA,FALSE,NA,NA,NA,2015,2016,2015 - 2016
0073a765a1a9833a1a65f059c6c0b8de,1a1d436ee72e98f3c858e1d0ff3dcabb,454,Attack rate,Percentage (%),0,NA,Median,NA,NA,NA,NA,NA,1,43,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,TRUE,Region,TRUE,FALSE,Unspecified,NA,Christian,Estimated model parameter,FALSE,NA,NA,Multi-country: Central and South America (n = 8),Persons under investigation,NA,NA,Hospital based,NA,1,Feb,2016,NA,Jan,2014,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,6,Attack rate,1 - 43,NA,NA,"Brazil, Colombia, El Salvador, Haiti, Honduras, Mexico, Puerto Rico, Venezuela",NA,NA,FALSE,NA,NA,NA,Jan 2014,1 Feb 2016,Jan 2014 - 1 Feb 2016
0073a765a1a9833a1a65f059c6c0b8de,36e98e3d2958903a7edcb762753fbd96,454,Attack rate,Percentage (%),0,NA,Median,NA,NA,NA,NA,NA,5,49,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,TRUE,Region,TRUE,FALSE,Unspecified,NA,Christian,Estimated model parameter,FALSE,NA,NA,Multi-country: Central and South America (n = 8),Persons under investigation,NA,NA,Hospital based,NA,28,Feb,2017,1,Feb,2016,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,6,Attack rate,5 - 49,NA,NA,"Brazil, Colombia, El Salvador, Haiti, Honduras, Mexico, Puerto Rico, Venezuela",NA,NA,FALSE,NA,NA,NA,1 Feb 2016,28 Feb 2017,1 Feb 2016 - 28 Feb 2017
d4f95e1d7c8a2be7da8ba800b8daaf61,9a487db24f0eaf52d2e2146835641a67,483,Seroprevalence - NS1 BOB ELISA,Percentage (%),0,36.1,Central,34.5,37.8,95% CI,NA,NA,22,58,NA,NA,NA,NA,NA,Unspecified,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,TRUE,"Age, Other, Region, Sex",FALSE,FALSE,Post outbreak,NA,Patrick,Estimated model parameter,FALSE,14,2,Nicaragua,Children,"District II, Managua",NA,Household based,Both,NA,Jul,2017,NA,Feb,2017,NA,NA,NA,NA,NA,NA,Naive,FALSE,NA,Unspecified,1,Seroprevalence,22 - 58,95% CI,34.5 - 37.8,Nicaragua,NA,NA,FALSE,NA,NA,NA,Feb 2017,Jul 2017,Feb 2017 - Jul 2017
d4f95e1d7c8a2be7da8ba800b8daaf61,32efd2471dbff7d1afc04890dfc517e3,483,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,Post outbreak,NA,Patrick,NA,FALSE,14,2,Nicaragua,Children,"District II, Managua",NA,Household based,Both,NA,Jul,2017,NA,Feb,2017,NA,Not adjusted,Age;Other;Sex,NA,Serology,Significant,NA,FALSE,NA,Unspecified,1,Risk factors,NA,NA,NA,Nicaragua,NA,NA,FALSE,NA,NA,NA,Feb 2017,Jul 2017,Feb 2017 - Jul 2017
d4f95e1d7c8a2be7da8ba800b8daaf61,542297cb0ea1e1e94948c66951b8eefe,483,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,Post outbreak,NA,Patrick,NA,FALSE,14,2,Nicaragua,Children,"District II, Managua",NA,Household based,Both,NA,Jul,2017,NA,Feb,2017,NA,Not adjusted,Other,NA,Serology,Not significant,NA,FALSE,NA,Unspecified,1,Risk factors,NA,NA,NA,Nicaragua,NA,NA,FALSE,NA,NA,NA,Feb 2017,Jul 2017,Feb 2017 - Jul 2017
d4f95e1d7c8a2be7da8ba800b8daaf61,ace718aecf2b31bc1187ff8c7bfb4c9c,483,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,Post outbreak,NA,Patrick,NA,FALSE,14,2,Nicaragua,Children,"District II, Managua",NA,Household based,Both,NA,Jul,2017,NA,Feb,2017,NA,Adjusted,Other;Sex,NA,Serology,Significant,NA,FALSE,NA,Unspecified,1,Risk factors,NA,NA,NA,Nicaragua,NA,NA,FALSE,NA,NA,NA,Feb 2017,Jul 2017,Feb 2017 - Jul 2017
d4f95e1d7c8a2be7da8ba800b8daaf61,d2263a21bfd26df9236ccac67a2454fb,483,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,Post outbreak,NA,Patrick,NA,FALSE,14,2,Nicaragua,Children,"District II, Managua",NA,Household based,Both,NA,Jul,2017,NA,Feb,2017,NA,Adjusted,Age;Other,NA,Serology,Not significant,NA,FALSE,NA,Unspecified,1,Risk factors,NA,NA,NA,Nicaragua,NA,NA,FALSE,NA,NA,NA,Feb 2017,Jul 2017,Feb 2017 - Jul 2017
d4f95e1d7c8a2be7da8ba800b8daaf61,927d0466f09a9194ad90cfc0fe3295e8,483,Seroprevalence - NS1 BOB ELISA,Percentage (%),0,45.8,Central,43.4,48.3,95% CI,NA,NA,NA,67,NA,NA,NA,NA,NA,Unspecified,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,TRUE,"Age, Sex",FALSE,FALSE,Post outbreak,NA,Patrick,Estimated model parameter,FALSE,80,2,Nicaragua,General population,"District II, Managua",NA,Household based,Both,NA,Jul,2017,NA,Feb,2017,NA,NA,NA,NA,NA,NA,Naive,FALSE,NA,Unspecified,1,Seroprevalence,NA,95% CI,43.4 - 48.3,Nicaragua,NA,NA,FALSE,NA,NA,NA,Feb 2017,Jul 2017,Feb 2017 - Jul 2017
d4f95e1d7c8a2be7da8ba800b8daaf61,111451d24eac4ed9455f120e13083d2c,483,Seroprevalence - NS1 BOB ELISA,Percentage (%),0,56.4,Central,53.1,59.6,95% CI,NA,NA,25,79.7,NA,NA,NA,NA,NA,Unspecified,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,TRUE,"Age, Other, Region, Sex",FALSE,FALSE,Post outbreak,NA,Patrick,Estimated model parameter,FALSE,80,15,Nicaragua,Other,"District II, Managua",NA,Household based,Both,NA,Jul,2017,NA,Feb,2017,NA,NA,NA,NA,NA,NA,Naive,FALSE,NA,Unspecified,1,Seroprevalence,25 - 79.7,95% CI,53.1 - 59.6,Nicaragua,NA,NA,FALSE,NA,NA,NA,Feb 2017,Jul 2017,Feb 2017 - Jul 2017
d4f95e1d7c8a2be7da8ba800b8daaf61,ca4c3a7cbf0d46e03e504c1cc64f5664,483,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,Post outbreak,NA,Patrick,NA,FALSE,80,15,Nicaragua,Other,"District II, Managua",NA,Household based,Both,NA,Jul,2017,NA,Feb,2017,NA,Not adjusted,Age,NA,Serology,Significant,NA,FALSE,NA,Unspecified,1,Risk factors,NA,NA,NA,Nicaragua,NA,NA,FALSE,NA,NA,NA,Feb 2017,Jul 2017,Feb 2017 - Jul 2017
d4f95e1d7c8a2be7da8ba800b8daaf61,6edbb434cfc26b724fbd6947d03f9ff3,483,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,Post outbreak,NA,Patrick,NA,FALSE,80,15,Nicaragua,Other,"District II, Managua",NA,Household based,Both,NA,Jul,2017,NA,Feb,2017,NA,Not adjusted,Age;Other;Sex,NA,Serology,Not significant,NA,FALSE,NA,Unspecified,1,Risk factors,NA,NA,NA,Nicaragua,NA,NA,FALSE,NA,NA,NA,Feb 2017,Jul 2017,Feb 2017 - Jul 2017
d4f95e1d7c8a2be7da8ba800b8daaf61,98293c83a9bb3150fa68839439b0df57,483,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,Post outbreak,NA,Patrick,NA,FALSE,80,15,Nicaragua,Other,"District II, Managua",NA,Household based,Both,NA,Jul,2017,NA,Feb,2017,NA,Adjusted,Age;Sex,NA,Serology,Significant,NA,FALSE,NA,Unspecified,1,Risk factors,NA,NA,NA,Nicaragua,NA,NA,FALSE,NA,NA,NA,Feb 2017,Jul 2017,Feb 2017 - Jul 2017
d4f95e1d7c8a2be7da8ba800b8daaf61,0fbcd0bd1ba34d1f2600928929fe0f03,483,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,Post outbreak,NA,Patrick,NA,FALSE,80,15,Nicaragua,Other,"District II, Managua",NA,Household based,Both,NA,Jul,2017,NA,Feb,2017,NA,Adjusted,Age;Other,NA,Serology,Not significant,NA,FALSE,NA,Unspecified,1,Risk factors,NA,NA,NA,Nicaragua,NA,NA,FALSE,NA,NA,NA,Feb 2017,Jul 2017,Feb 2017 - Jul 2017
129e48deef857098eb2836bb14b08db9,cc588e23e33f3c212121908fa1604ebe,506,Mutations - evolutionary rate,Substitutions/site/year,-3,NA,Other,NA,NA,NA,NA,NA,0.53,4.39,Whole genome sequence,NA,NA,NA,NA,Yes - on another platform,NA,FALSE,NA,NA,FALSE,NA,NA,TRUE,FALSE,FALSE,FALSE,Other,TRUE,FALSE,Unspecified,NA,Sequoia,Estimated model parameter,FALSE,NA,NA,"Multi-country: Americas (n = 9), Asia (n = 5), Oceania (n = 1), Africa (n = 5), Europe (n = 1)",NA,NA,58,NA,NA,NA,NA,2016,NA,NA,1947,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,7,Mutations,0.53 - 4.39,NA,NA,"Brazil, Cambodia, Central African Republic, China, Colombia, Guatemala, Haiti, Italy, Malaysia, Mexico, Federated States of Micronesia, Nigeria, Panama, Philippines, Puerto Rico, Senegal, South Africa, Suriname, Thailand, Uganda, United States",NA,NA,FALSE,NA,NA,NA,1947,2016,1947 - 2016
958031189d9f9730be43aaa251832cdb,95a56d4fa6fab6b9e603d1b31b6e16ea,538,"Reproduction number (Effective, Re)",No units,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Whole genome sequences,NA,NA,NA,NA,Yes - on another platform,NA,FALSE,NA,NA,FALSE,NA,NA,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,Unspecified,Genomics,Shazia Ruybal-Pesantez,NA,TRUE,NA,NA,Multi-country: Central America (n = 5),General population,NA,61,Unspecified,Unspecified,NA,Aug,2016,NA,Jan,2016,Unspecified,NA,NA,NA,NA,NA,NA,FALSE,NA,Unspecified,2,Reproduction number,NA,NA,NA,"El Salvador, Guatemala, Honduras, Mexico, Nicaragua",NA,NA,FALSE,NA,NA,NA,Jan 2016,Aug 2016,Jan 2016 - Aug 2016
