article_id,parameter_type,parameter_from_figure,parameter_value,parameter_lower_bound,parameter_upper_bound,inverse_param,parameter_unit,parameter_value_type,method_from_supplement,parameter_statistical,parameter_uncertainty_singe_type,parameter_uncertainty_single_value,parameter_uncertainty_type,parameter_uncertainty_lower_value,parameter_uncertainty_upper_value,distribution_type,distribution_par1_value,parameter_paired,parameter_type_2,parameter_value_2,parameter_range_low_2,parameter_range_upper_2,parameter_inverse_2,parameter_unit_2,parameter_value_type_2,parameter_supplement_2,parameter_statistical_2,parameter_unc_single_type_2,parameter_unc_single_value_2,parameter_unc_pair_type_2,parameter_unc_pair_value_low_2,parameter_unc_pair_value_up_2,distribution_par2_type,distribution_par2_value,genome_site,genomic_sequence_available,method_r,r_pathway,parameter_hd_from,other_delay_start,parameter_hd_to,other_delay_end,cfr_ifr_numerator,cfr_ifr_denominator,cfr_ifr_method,riskfactor_outcome,riskfactor_name,riskfactor_occupation,riskfactor_significant,riskfactor_adjusted,method_disaggregated,method_disaggregated_by,method_disaggregated_only,parameter_context_human,parameter_context_nonhuman,parameter_context_genotype,population_sex,population_sample_size,parameter_context_sample_type,population_sample_type,population_group,population_age_min,population_age_max,population_country,population_location,data_available ,parameter_notes,exponent,population_study_start_day,population_study_start_month,population_study_start_year,population_study_end_day,population_study_end_month,population_study_end_year,parameter_data_id,id
5,Infection prevalence - PCR [Oropouche ONLY],FALSE,NA,NA,NA,FALSE,NA,Central - unspecified,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human,NA,NA,Unspecified,53,serum,Hospital based,Persons under investigation,NA,NA,Brazil,Salvador; Bahia,Unspecified,NA,0,NA,11,2016,NA,12,2017,73d332fa-8a9b-4872-8e62-2e82b1ab0919,910a7231-0679-4bf6-ac62-3cd9edc635be
5,Infection prevalence - PCR [Oropouche ONLY],FALSE,NA,NA,NA,FALSE,NA,Central - unspecified,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human,NA,NA,Unspecified,42,saliva,Hospital based,Persons under investigation,NA,NA,Brazil,Bhaia; Salvador,Unspecified,NA,0,NA,11,2016,NA,12,2017,cb5ae6ab-dd95-4502-beda-18dd280252f0,910a7231-0679-4bf6-ac62-3cd9edc635be
5,Infection prevalence - PCR [Oropouche ONLY],FALSE,NA,NA,NA,FALSE,NA,Central - unspecified,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human,NA,NA,Unspecified,22,urine,Hospital based,Persons under investigation,NA,NA,Brazil,Bhaia; Salvador,Unspecified,NA,0,NA,11,2016,NA,12,2017,276bf14d-f7a3-4e4b-92bb-dbdbc51024f8,910a7231-0679-4bf6-ac62-3cd9edc635be
104,Infection prevalence - PCR [Oropouche ONLY],FALSE,NA,NA,NA,FALSE,NA,Central - unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,106,Naive,NA,NA,NA,NA,NA,Yes,No,Sex,Human,NA,NA,Both,106,NA,Hospital based,Persons with symptoms,NA,NA,Brazil,"Walfrido Arruda Emergency Care Unit, Campo Grande, Mato Grosso do Sul, Brazil",Unspecified,"69 female, 38 male. Median age 34. ""We selected 106 clinical samples collected from February to March 2016 from acute febrile
patients (onset of disease <7 days) attended at the Walfrido Arruda Emergency Care Unit""",0,NA,2,2016,NA,3,2016,c9b37b70-1368-4803-81cf-a8dec90cb835,a3707540-dd01-4123-b6f3-4060ae6cee14
104,Infection prevalence - PCR [Oropouche ONLY],FALSE,NA,NA,NA,FALSE,NA,Central - unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,224,Naive,NA,NA,NA,NA,NA,Yes,No,Other,Not human,domestic vertebrate - bos indicus/taurus; canis lupis familiaris; equus ferus caballus; felis silvestris catus,NA,Unspecified,224,NA,Non-human,Non-human,NA,NA,Brazil,"Cuiaba, state of Mato Grosso",Unspecified,NA,0,NA,NA,2017,NA,NA,2018,1,a3707540-dd01-4123-b6f3-4060ae6cee14
104,Infection prevalence - PCR [Oropouche ONLY],FALSE,NA,NA,NA,FALSE,NA,Central - unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,371,Naive,NA,NA,NA,NA,NA,Yes,No,Other,Not human,domestic vertebrate - bos indicus/taurus; canis lupis familiaris; equus ferus caballus; felis silvestris catus,NA,Unspecified,371,NA,Non-human,Non-human,NA,NA,Brazil,"Campo Grande, state of Mato Grosso do Sul",Unspecified,NA,0,NA,NA,2017,NA,NA,2018,2,a3707540-dd01-4123-b6f3-4060ae6cee14
104,Infection prevalence - PCR [Oropouche ONLY],FALSE,NA,NA,NA,FALSE,NA,Central - unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,102,Naive,NA,NA,NA,NA,NA,Yes,No,Other,Not human,wild vertebrate - nasua nasua; didelphis albiventris; mico melanurus; sapajus apella; didelphis; aotus lemurinus; ateles marginatus,NA,Unspecified,102,NA,Non-human,Non-human,NA,NA,Brazil,"Cuiaba, state of Mato Grosso",Unspecified,NA,0,NA,NA,2017,NA,NA,2018,3,a3707540-dd01-4123-b6f3-4060ae6cee14
104,Infection prevalence - PCR [Oropouche ONLY],FALSE,NA,NA,NA,FALSE,NA,Central - unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,113,Naive,NA,NA,NA,NA,NA,Yes,No,Other,Not human,wild vertebrate - nasua nasua; didelphis albiventris; sapajus cay; callithrix jacchus; alouatta caraya,NA,Unspecified,113,NA,Non-human,Non-human,NA,NA,Brazil,"Campo Grande, state of Mato Grosso do Sul",Unspecified,NA,0,NA,NA,2017,NA,NA,2018,4,a3707540-dd01-4123-b6f3-4060ae6cee14
104,Infection prevalence - PCR [Oropouche ONLY],FALSE,NA,NA,NA,FALSE,NA,Central - unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20746,Naive,NA,NA,NA,NA,NA,Yes,No,Other,Not human,mosquito species - culex spp.; wyeomyia sp.; aedes aegypti; psorophora dimidiata; culex nigripalpus; psorophora albigenu; aedes scapularis; aedes albopictus; psorophora spp.; culex quinquefasciatus; aedes spp.; haemagogus janthinomys; psorophora cingulata; psorophora cilipes; mansonia sp.; psorophora lanei; haemagogus leucocelaenus; sabethes spp.; haemagogus sp.,NA,Unspecified,20746,NA,Non-human,Non-human,NA,NA,Brazil,"Cuiaba, state of Mato Grosso",Unspecified,NA,0,NA,NA,2017,NA,NA,2018,5,a3707540-dd01-4123-b6f3-4060ae6cee14
104,Infection prevalence - PCR [Oropouche ONLY],FALSE,NA,NA,NA,FALSE,NA,Central - unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2185,Naive,NA,NA,NA,NA,NA,Yes,No,Other,Not human,mosquito species - culex spp.; wyeomyia sp.; aedes aegypti; psorophora dimidiata; psorophora albigenu; aedes scapularis; aedes albopictus; psorophora spp.;  aedes spp.; haemagogus janthinomys; psorophora cingulata; psorophora cilipes; mansonia sp.; psorophora lanei; haemagogus leucocelaenus; sabethes spp.,NA,Unspecified,2185,NA,Non-human,Non-human,NA,NA,Brazil,"Campo Grande, state of Mato Grosso do Sul",Unspecified,NA,0,NA,NA,2017,NA,NA,2018,6,a3707540-dd01-4123-b6f3-4060ae6cee14
111,Infection prevalence - PCR [Oropouche ONLY],FALSE,NA,NA,NA,FALSE,NA,Central - unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,1872,NA,NA,NA,NA,NA,NA,Yes,No,Region,Human,NA,NA,Unspecified,1872,serum,Unspecified,Persons under investigation,NA,NA,Brazil,EspÃ­rito Santo,NA,"""Since April 2024, n = 1872 samples have been analyzed through RT-PCR tests, and n = 25 positive cases of Oropouche fever have been identified in the following cities: n = 12 positive cases in Colatina, n = 1 in Ibiraçu, n = 2 in Laranja da Terra, n = 1 in São Gabriel da Palha, n = 2 in Vitória, n = 2 in Sooretama, n = 1 in Vila Valério and n = 4 in Rio Banana"". Denoms not given in each city so can't disaggregate fully",0,NA,4,2024,NA,NA,NA,d2dde4bc-3287-4433-8958-bb8350118cb8,33d0b662-95a2-4eac-9c34-057eb871dcf0
126,Infection prevalence - PCR [Oropouche ONLY],FALSE,25,NA,NA,FALSE,Percentage (%),Central - unspecified,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,28,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Both,28,Blood,Community based,Persons with symptoms,NA,NA,France,"Saul, French Guiana",Unspecified,"7 positives by PCR alone, but can get this and microneutralisation",0,11,8,2020,15,10,2020,cd23a321-ec44-4698-b526-997cb6e92f8c,0e82b6a0-0d68-47aa-a362-17290305e1f1
126,Seroprevalence - PRNT,FALSE,43,NA,NA,FALSE,Percentage (%),Central - unspecified,Yes,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,28,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Both,28,Blood,Community based,Persons with symptoms,NA,NA,France,"Saul, French Guiana",Unspecified,"12 positives by microneutralisation alone, but can get this and PCR",0,11,8,2020,15,10,2020,7,0e82b6a0-0d68-47aa-a362-17290305e1f1
126,Infection prevalence - Other [Oropouche ONLY],FALSE,14,NA,NA,FALSE,Percentage (%),Central - unspecified,Yes,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,28,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Both,28,Blood,Community based,Persons with symptoms,NA,NA,France,"Saul, French Guiana",Unspecified,combines PCR and microneutralisation,0,11,8,2020,15,10,2020,8,0e82b6a0-0d68-47aa-a362-17290305e1f1
126,Attack rate,FALSE,43.2,NA,NA,FALSE,Percentage (%),NA,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,95,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Both,95,NA,Community based,Persons under investigation,3,82,France,"Saul, French Guiana",Unspecified,"""The attack rate in the village population was 43.2% (41/95)""",0,11,8,2020,15,10,2020,71703063-887e-4e49-a6ef-75ade9d62162,0e82b6a0-0d68-47aa-a362-17290305e1f1
126,Attack rate,FALSE,61.1,NA,NA,FALSE,Percentage (%),NA,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,95,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Both,95,NA,Community based,Persons with symptoms,3,82,France,"Saul, French Guiana",Unspecified,"""however, including residents with Dengue-like syndrome symptoms who did not seek medical help would make the actual attack rate 61.1% (58/95)""",0,11,8,2020,15,10,2020,f5b99937-d1ff-4530-a60f-2872aaaf4af7,0e82b6a0-0d68-47aa-a362-17290305e1f1
126,Human delay - other human delay (go to section),FALSE,NA,2,4,FALSE,Days,Other,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symptom Onset/Fever,NA,Symptom Resolution,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human,NA,NA,Both,23,NA,Community based,Persons under investigation,NA,NA,France,"Saul, French Guiana",Unspecified,"""The illness followed 3 successive phases: a 2–4-day acute phase, followed by a remission phase,""",0,11,8,2020,15,10,2020,9,0e82b6a0-0d68-47aa-a362-17290305e1f1
126,Human delay - other human delay (go to section),FALSE,NA,10,14,FALSE,Days,Other,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symptom Onset/Fever,NA,Symptom Recurrence ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human,NA,NA,Both,23,NA,Community based,Persons under investigation,NA,NA,France,"Saul, French Guiana",Unspecified,"""then a rebound of symptoms ≈7–10 days after onset""",0,11,8,2020,15,10,2020,10,0e82b6a0-0d68-47aa-a362-17290305e1f1
126,Human delay - other human delay (go to section),FALSE,14,NA,NA,FALSE,Days,Other,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symptom Onset/Fever,NA,Symptom Resolution,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human,NA,NA,Both,95,NA,Community based,Persons with symptoms,NA,NA,France,"Saul, French Guiana",Unspecified,"Symptoms by order of frequency were fever, headache, myalgia, and asthenia (Appendix Table 2). The illness followed 3 successive phases: a 2-4-day acute phase, followed by a remission phase, then a rebound of symptoms â‰ˆ7-10 days after onset. Symptom intensity decreased by the end of the second week.",0,NA,8,2020,15,10,2020,1d4c946b-4019-4370-995c-acba14ba7ffc,0e82b6a0-0d68-47aa-a362-17290305e1f1
98,Infection prevalence - PCR [Oropouche ONLY],FALSE,23.6,NA,NA,FALSE,Percentage (%),Central - unspecified,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human,NA,NA,Both,229,NA,Hospital based,Persons with symptoms,NA,NA,Peru,Madre de Dios; Huanuco; Piura,Yes - as an attachment,validation set for the model. No disaggregation given for this although is given for development set,0,NA,1,2015,NA,12,2016,f3d7814f-b5a9-436c-b3f4-16df86a61d6d,a624ef17-3e14-4479-8cf9-6c98819e0bfb
98,Infection prevalence - PCR [Oropouche ONLY],FALSE,19,0,40,FALSE,Percentage (%),Central - unspecified,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,512,NA,NA,NA,NA,NA,NA,Yes,No,"Age,Region,Sex,Symptoms,Time,Other",Human,NA,NA,Both,512,NA,Hospital based,Persons under investigation,NA,NA,Peru,Madre de Dios; Huanuco; Piura,Yes - as an attachment,other' - positive/negative for other pathogens; model development data set. Table 2.,0,NA,1,2015,NA,12,2016,758b317e-0213-4885-b3a5-b9f429f295e6,a624ef17-3e14-4479-8cf9-6c98819e0bfb
98,Infection prevalence - PCR [Oropouche ONLY],FALSE,3.2,NA,NA,FALSE,Percentage (%),Central - unspecified,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,63,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Unspecified,63,NA,Hospital based,Persons with symptoms,NA,NA,Peru,Madre de Dios,Yes - as an attachment,Table 2,0,NA,1,2015,NA,12,2016,70ccf2d1-bcdd-4e9a-87e1-ddef43a99ed1,a624ef17-3e14-4479-8cf9-6c98819e0bfb
98,Infection prevalence - PCR [Oropouche ONLY],FALSE,16.4,NA,NA,FALSE,Percentage (%),Central - unspecified,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,183,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Unspecified,183,NA,Hospital based,Persons with symptoms,NA,NA,Peru,Huanuco,Yes - as an attachment,Table 2,0,NA,1,2015,NA,12,2016,b1d6d896-7270-4b38-9aea-cd3a519dbe95,a624ef17-3e14-4479-8cf9-6c98819e0bfb
98,Infection prevalence - PCR [Oropouche ONLY],FALSE,24.4,NA,NA,FALSE,Percentage (%),Central - unspecified,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,266,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Unspecified,266,NA,Hospital based,Persons with symptoms,NA,NA,Peru,Piura,Yes - as an attachment,Table 2,0,NA,1,2015,NA,12,2016,a513a72e-bb54-4374-9014-dcda6001517b,a624ef17-3e14-4479-8cf9-6c98819e0bfb
98,Infection prevalence - PCR [Oropouche ONLY],FALSE,24,NA,NA,FALSE,Percentage (%),Unspecified,No,Estimated model parameter,NA,NA,CI95%,18.6,30.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Unspecified,229,NA,Hospital based,Persons with symptoms,NA,NA,Peru,Madre de Dios; Huanuco; Piura,Yes - as an attachment,Table 4. one of the only modelled estimates for OROV we've found,0,NA,1,2015,NA,12,2016,f64f3cc8-517c-4dba-8fb6-7c7c33dcdd51,a624ef17-3e14-4479-8cf9-6c98819e0bfb
