article_id,pathogen,covidence_id,first_author_first_name,article_title,doi,journal,year_publication,volume,issue,page_first,page_last,paper_copy_only,notes,first_author_surname,double_extracted,qa_m1,qa_m2,qa_a3,qa_a4,qa_d5,qa_d6,qa_d7,score,id
35,Marburg virus,2869,Brian,Seasonal pulses of Marburg virus circulation in juvenile Rousettus aegyptiacus bats coincide with periods of increased risk of human infection,10.1371/journal.ppat.1002877,PLOS Pathogens,2012,8,10,NA,NA,FALSE,Study focused on bats but contains risk factors for 13 suspected virus spillover events to humans.,Amman,0,1,1,1,1,1,1,1,1,a68ba24a793dfaf855bb6dc5dcce26b6
36,Marburg virus,1483,Gianguglielmo,"Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases",10.1016/j.meegid.2016.06.014,NA,2016,44,NA,8,16,FALSE,NA,Zehender,1,1,1,1,1,1,1,1,1,7607f189b078e8d754f5aeb78e1d0058
37,Marburg virus,2369,Jean Paul,"Ebola and Marburg virus antibody prevalence in selected populations of the Central African Republic

decision-making",NA,Microbes and infection,2000,2,1,39,44,FALSE,First 4 Qas hard to evaluate since method of participant selection was not included in this paper,Gonzalez,0,1,1,NA,NA,0,0,0,0.4,d31a7a8c476425563fb478517b840e10
38,Marburg virus,3473,RJ,Undiagnosed Acute Viral Febrile Illnesses Sierra Leone,10.3201/eid2007.131265,Emerging Infectious Diseases,2014,20,7,1176,1182,FALSE,Serology study of patients with suspected Lassa fever but negative on serology. Also reported number of IgM positive that were not also IgG positive,Schoepp,0,0,0,NA,NA,1,1,0,0.4,d9f2c2c5ebc2e3895442eda6b816c028
39,Marburg virus,1595,Fransje W,Hemorrhagic fever virus infections in an isolated rainforest area of central Liberia. Limitations of the indirect immunofluorescence slide test for antibody screening in Africa,NA,Tropical and Geographical Medicince,1986,38,NA,209,214,FALSE,NA,Van der Waals,1,1,1,NA,NA,0,0,0,0.4,c1b753c527c20b1ff1a0462552148b55
40,Marburg virus,2370,J. P.,Antibody prevalence against haemorrhagic fever viruses in randomized representative Central African populations,NA,Research in virology,1989,140,NA,319,331,FALSE,NA,Gonzalez,0,1,0,NA,NA,1,1,1,0.8,108af40db9c176a0cdcf4a0cb20925f7
41,Marburg virus,2042,Christian C.,Antibodies to haemorrhagic fever viruses in Madagascar populations,NA,Transactions of the Royal Society of Tropical Medicine and Hygiene,1989,83,NA,407,409,FALSE,NA,Mathiot,1,0,0,NA,NA,0,0,0,0,1becf6a947c31352eb73dd978b7b3a2c
42,Marburg virus,2241,Barbara,"Multidistrict Outbreak of Marburg Virus Disease-Uganda, 2012",10.1093/infdis/jiv351,The Journal of Infectious Diseases,2015,212,NA,119,128,FALSE,"It's in Supplement 2 of the journal.  Page numbers are S119 and S128. Use risk factor outcome to indicate what outcome is being recorded.  Death = death, other = recovery",Knust,0,1,0,NA,NA,1,0,0,0.4,c1c206bec3ad4f7e93c417dd10b1457c
43,Marburg virus,2761,Matthias,Pygmy populations seronegative for Marburg virus,10.3201/eid1101.040377,Emerging Infectious Diseases,2005,11,1,174,177,FALSE,NA,Borchert,0,1,1,1,1,1,1,1,1,82d75dce554595ac1e0848a8dd0582fe
44,Marburg virus,2120,Paul,"Factors associated with Marburg hemorrhagic fever: analysis of patient data from Uige, Angola",10.1086/652748,The Journal of infectious diseases,2010,201,12,1909,1918,FALSE,NA,Roddy,0,1,1,NA,NA,1,1,0,0.8,66589269b2dacef881a9852d7b31227d
45,Marburg virus,2759,Matthias,Short communication: a cluster of Marburg virus disease involving an infant,10.1046/j.1365-3156.2002.00945.x,Tropical Medicine & International Health,2002,7,10,902,906,FALSE,NA,Borchert,0,1,1,NA,NA,1,1,0,0.8,3e6977d15335be4c5b92044d1bbf48c2
46,Marburg virus,4657,Matthias,"Use of Protective Gear and the Occurrence of Occupational Marburg Hemorrhagic Fever in Health Workers from Watsa Health Zone, Democratic Republic of the Congo",10.1086/520540,The Journal of Infectious Diseases,2007,196,NA,168,175,FALSE,Serosurvey of surviving HCW who had treated patients with Marburg haemorrhagic fever during outbreak (Oct '98 - Sep '00),Borchert,0,1,1,NA,NA,0,1,0,0.6,42d5c593c9a5e51d154e80338a2f4b5a
47,Marburg virus,1595,Fransje W.,Hemorrhagic fever virus infections in an isolated rainforest area of central Liberia. Limitations of the indirect immunofluorescence slide test for antibody screening in Africa,NA,Tropical and geographical medicine,1986,38,1,209,214,TRUE,"This is a small-sample (225) seroprevalence study with a focus on epileptics, to explore whether MBG and other HFVs are risk factors for epilepsy. The conclusion is negative, but it calculates some seroprevalence estimates",Van der Waals,1,1,1,NA,NA,0,0,0,0.4,66844c7ae42f81ea6386d1a50d1e52d3
48,Marburg virus,1649,Y,The origin and evolution of Ebola and Marburg viruses,10.1093/oxfordjournals.molbev.a025820,Molecular Biology and Evolution,1997,14,8,800,806,FALSE,"Nonsynonymous substitution rates only - couldn't do synonymous because such a large number of them. Parameter values are x10-4.

Some mutation rates were estimated to be negative so were not presented in the paper.",Suzuki,1,1,0,0,0,1,1,0,0.428571429,b4bfdc68b80c7e4d0717949806ebd1cc
49,Marburg virus,4693,Jennifer,"Outbreak of Marburg Hemorrhagic Fever Among Miners in Kamwenge and Ibanda Districts, Uganda, 2007",10.1093/infdis/jir312,The Journal of Infectious Diseases,2011,204,NA,796,799,FALSE,Article appeared in Issue suppl_3. All infected individuals in outbreak were mineworkers in tunnel with bat population.,Adjemian,0,1,1,NA,NA,1,0,0,0.6,5987f7edbc50272840d26b593b73e8d5
50,Marburg virus,2032,A,Repeated outbreaks of Viral hemorrhagic fevers in Uganda,NA,African health sciences,2012,12,4,579,583,FALSE,Contains epidemic curve and CFR split by confirmed and suspected,Mbonye,1,1,0,0,0,0,0,0,0.142857143,299c0f1ecb056f7c014821edebd39929
51,Marburg virus,1649,Y,The origin and evolution of Ebola and Marburg viruses,NA,Molecular biology and evolution,1997,14,8,800,806,FALSE,Rates of non-synonymous substitutions. Table 4 compares substitution rates b/w viruses,Suzuki,1,1,0,0,0,1,1,0,0.428571429,86e4b7c8785445aa12574c87a9b57fe6
52,Marburg virus,1692,D H,Marburg-virus disease in Kenya,NA,Lancet,1982,1,8276,816,820,TRUE,3 positive samples from hospital workers,Smith,1,1,1,NA,NA,0,0,0,0.4,146836abb84ddcad334ae8ce5d9acfc3
54,Marburg virus,1613,Jonathan S.,"Marburgvirus Genomics and Association with a Large Hemorrhagic

Fever Outbreak in Angola",10.1128/jvi.00069-06,Journal of Virology,2006,80,13,6497,6516,FALSE,Paper couldn't establish rateof mutation over tie for outbreka due to epidemiological link between the 11 patient samples not being established.,Towner,1,NA,NA,NA,NA,1,NA,NA,1,6746ef8eaee8eb2f99df80fbb46af12c
55,Marburg virus,2600,B.K.,"Viral haemorrhagic fever surveillance in Kenya, 1980-1981",NA,Tropical and Geographical Medicine,1983,35,1,43,47,TRUE,NA,Johnson,0,1,1,NA,NA,1,0,NA,0.75,15a75fd1019daa2aeb64f604bc6fabd5
56,Marburg virus,1927,Aileen,Serosurveillance of viral pathogens circulating in West Africa,10.1186/s12985-016-0621-4,Virology journal,2016,13,1,163,NA,FALSE,NA,O'Hearn,1,1,1,NA,NA,0,0,0,0.4,8b8441d69d325142b2dca3adc7901330
57,Marburg virus,2819,Daniel,Marburg Hemorrhagic Fever Associated with Multiple Genetic Lineages of Virus,10.1056/NEJMoa051465,The New England journal of medicine,2006,355,9,909,919,FALSE,NA,Bausch,0,1,1,NA,NA,1,1,1,1,59d8786f870eed009049aa014d91ba11
58,Marburg virus,2822,Daniel,"Risk factors for Marburg hemorrhagic fever, Democratic Republic of the Congo",10.3201/eid0912.030355,Emerging infectious diseases,2003,9,12,1531,1537,FALSE,NA,Bausch,0,1,1,NA,NA,1,1,0,0.8,a165ddbb0a788a011dc667404a2357a2
59,Marburg virus,1613,Jonathan S.,Marburgvirus genomics and association with a large hemorrhagic fever outbreak in Angola,https://doi.org/10.1128/JVI.00069-06,Journal of Virology,2006,80,13,6497,6516,FALSE,"Only outbreak data was extracted from this paper, no data on parameters of interest identified",Towner,1,NA,NA,NA,NA,1,NA,NA,1,de473b4b54dce31bd5c2152519f74409
60,Marburg virus,2573,J. Lyle,"Epidemiologic investigation of Marburg virus disease, Southern Africa, 1975",NA,The American journal of tropical medicine and hygiene,1978,27,6,1210,1215,TRUE,"This is not available online, but I requested a copy from the library and uploaded the pdf to Covidence. Only outbreak data was extracted, since there were no parameters of interest (using our wording) identified.",Conrad,0,NA,NA,NA,NA,1,NA,NA,1,9f809c984a2ce64c50da6d66fa08a6d5
61,Marburg virus,1693,Tierra Smiley,Suspected Exposure to Filoviruses Among People Contacting Wildlife in Southwestern Uganda,10.1093/infdis/jiy251,The Journal of Infectious Diseases,2018,218,5,277,286,FALSE,NA,Evans,1,1,1,NA,NA,1,1,0,0.8,b15adcef6b04cff9f85d7b1dfd687c5c
62,Marburg virus,1871,Boris I,Calculation of incubation period and serial interval from multiple outbreaks of Marburg virus disease,10.1186/1756-0500-7-906,BMC Research Notes,2014,7,906,1,6,FALSE,This is a review of published cases - not original data as such - EXCLUDE?,Pavlin,1,0,0,0,0,1,0,0,0.142857143,2fbc69b6a85f403c2a43b3aeae7b894d
63,Marburg virus,5648,S,Viral haemorrhagic fevers and malaria co-infections among febrile patients seeking health care in Tanzania,https://doi.org/10.1186/s40249-022-00959-z,Infectious Diseases of Poverty,2022,NA,NA,NA,NA,FALSE,NA,Rugarabamu,0,1,1,NA,NA,1,0,0,0.6,ab1c9063f0792c616b60a593dce0718a
