id,parameter_data_id,covidence_id,pathogen,parameter_type,parameter_value,exponent,parameter_unit,parameter_lower_bound,parameter_upper_bound,parameter_value_type,parameter_uncertainty_single_value,parameter_uncertainty_singe_type,parameter_uncertainty_lower_value,parameter_uncertainty_upper_value,parameter_uncertainty_type,cfr_ifr_numerator,cfr_ifr_denominator,distribution_type,distribution_par1_value,distribution_par1_type,distribution_par1_uncertainty,distribution_par2_value,distribution_par2_type,distribution_par2_uncertainty,method_from_supplement,method_moment_value,cfr_ifr_method,method_r,method_disaggregated_by,method_disaggregated,method_disaggregated_only,riskfactor_outcome,riskfactor_name,riskfactor_occupation,riskfactor_significant,riskfactor_adjusted,population_sex,population_sample_type,population_group,population_age_min,population_age_max,population_sample_size,population_country,population_location,population_study_start_day,population_study_start_month,population_study_start_year,population_study_end_day,population_study_end_month,population_study_end_year,genome_site,genomic_sequence_available,other_delay_start,other_delay_end,inverse_param,parameter_from_figure,parameter_class,ebola_variant,other_delay,delay_short,delay_start,other_rf_outcome,attack_rate_type,survey_start_date,survey_end_date,survey_date,parameter_bounds,comb_uncertainty_type,comb_uncertainty,article_qa_score,outbreak,ebola_species
99d8421b6427ca532e0e7b029c1e26b1,9e26f3cbaf76dd096a8fe08763714751,57,Ebola virus,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Post outbreak,NA,NA,NA,FALSE,FALSE,Death,Age;Other;Sex,Unspecified,Significant,Unspecified,Both,Hospital based,Unspecified,0.5,75,139,Sierra Leone,JUI Holding and Treatment Centre Western Sierra Leone,15,Nov,2014,18,Jan,2015,NA,FALSE,NA,NA,FALSE,NA,Risk factors,Unspecified,NA,NA,Other,NA,NA,15 Nov 2014,18 Jan 2015,15 Nov 2014 - 18 Jan 2015,NA,NA,NA,100,West Africa 2013-2016,Zaire
99d8421b6427ca532e0e7b029c1e26b1,caa83e3757373224f7f675b719f83a30,57,Ebola virus,Severity - case fatality rate (CFR),54.7,0,Percentage (%),8.6,93.3,Unspecified,NA,NA,NA,NA,NA,76,139,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Post outbreak,Naive,NA,"Age, Other, Sex, Symptoms",TRUE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,Unspecified,0.5,75,139,Sierra Leone,JUI Holding and Treatment Centre Western Sierra Leone,15,Nov,2014,18,Jan,2015,NA,FALSE,NA,NA,FALSE,NA,Severity,Unspecified,NA,NA,Other,NA,NA,15 Nov 2014,18 Jan 2015,15 Nov 2014 - 18 Jan 2015,8.6 - 93.3,NA,NA,100,West Africa 2013-2016,Zaire
99d8421b6427ca532e0e7b029c1e26b1,f4aaae2be84dee6c69640ec496d175b6,57,Ebola virus,Human delay - incubation period,8.6,0,Days,7.3,12.3,Mean,6.1,Standard Deviation,0,20,Range,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Post outbreak,NA,NA,Other,TRUE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,Unspecified,NA,NA,31,Sierra Leone,JUI Holding and Treatment Centre Western Sierra Leone,15,Nov,2014,18,Jan,2015,NA,FALSE,NA,NA,FALSE,NA,Human delay,Unspecified,NA,Incubation period,Infection process,NA,NA,15 Nov 2014,18 Jan 2015,15 Nov 2014 - 18 Jan 2015,7.3 - 12.3,Range,0 - 20,100,West Africa 2013-2016,Zaire
99d8421b6427ca532e0e7b029c1e26b1,1ea610e2489a32574103b64b34a0f6de,57,Ebola virus,Human delay - Symptom Onset/Fever to Admission to Care/Hospitalisation,4.4,0,Days,3.8,4.9,Mean,3.5,Standard Deviation,0,18,Range,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Post outbreak,NA,NA,Other,TRUE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,Unspecified,0.5,75,139,Sierra Leone,JUI Holding and Treatment Centre Western Sierra Leone,15,Nov,2014,18,Jan,2015,NA,FALSE,Symptom Onset/Fever,Admission to Care/Hospitalisation,FALSE,NA,Human delay,Unspecified,Symptom Onset/Fever to Admission to Care/Hospitalisation,Symptom onset to admission to care,Symptom onset,NA,NA,15 Nov 2014,18 Jan 2015,15 Nov 2014 - 18 Jan 2015,3.8 - 4.9,Range,0 - 18,100,West Africa 2013-2016,Zaire
99d8421b6427ca532e0e7b029c1e26b1,4316d44cbd32d365e5ea4faff39cfe8b,57,Ebola virus,Human delay - Symptom Onset/Fever to Discharge from Care/Hospital,14.4,0,Days,NA,NA,Mean,4.7,Standard Deviation,3,34,Range,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Post outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,Unspecified,NA,NA,63,Sierra Leone,JUI Holding and Treatment Centre Western Sierra Leone,15,Nov,2014,18,Jan,2015,NA,FALSE,Symptom Onset/Fever,Discharge from Care/Hospital,FALSE,NA,Human delay,Unspecified,Symptom Onset/Fever to Discharge from Care/Hospital,Symptom onset to discharge from care,Symptom onset,NA,NA,15 Nov 2014,18 Jan 2015,15 Nov 2014 - 18 Jan 2015,NA,Range,3 - 34,100,West Africa 2013-2016,Zaire
99d8421b6427ca532e0e7b029c1e26b1,7dfc17eab39f9aa03b7c1c05d005bb2b,57,Ebola virus,Human delay - Symptom Onset/Fever to Death,8.6,0,Days,NA,NA,Mean,4.8,Standard Deviation,0,27,Range,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Post outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,Unspecified,NA,NA,76,Sierra Leone,JUI Holding and Treatment Centre Western Sierra Leone,15,Nov,2014,18,Jan,2015,NA,FALSE,Symptom Onset/Fever,Death,FALSE,NA,Human delay,Unspecified,Symptom Onset/Fever to Death,Symptom onset to death,Symptom onset,NA,NA,15 Nov 2014,18 Jan 2015,15 Nov 2014 - 18 Jan 2015,NA,Range,0 - 27,100,West Africa 2013-2016,Zaire
99d8421b6427ca532e0e7b029c1e26b1,c9c3fc483d332934182d3fe397fc8c8b,57,Ebola virus,Human delay - Admission to Care/Hospitalisation to Discharge from Care/Hospital,10.6,0,Days,NA,NA,Mean,4.2,Standard Deviation,2,27,Range,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,Unspecified,NA,NA,63,Sierra Leone,JUI Holding and Treatment Centre Western Sierra Leone,15,Nov,2014,18,Jan,2015,NA,FALSE,Admission to Care/Hospitalisation,Discharge from Care/Hospital,FALSE,NA,Human delay,Unspecified,Admission to Care/Hospitalisation to Discharge from Care/Hospital,Admission to care to discharge from care,Admission to care,NA,NA,15 Nov 2014,18 Jan 2015,15 Nov 2014 - 18 Jan 2015,NA,Range,2 - 27,100,West Africa 2013-2016,Zaire
99d8421b6427ca532e0e7b029c1e26b1,1ba606d08a8c30aecb8e2bc1433e0f9c,57,Ebola virus,Human delay - Admission to Care/Hospitalisation to Death,3.7,0,Days,NA,NA,Mean,2.7,Standard Deviation,0,18,Range,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Post outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,Unspecified,NA,NA,76,Sierra Leone,JUI Holding and Treatment Centre Western Sierra Leone,15,Nov,2014,18,Jan,2015,NA,FALSE,Admission to Care/Hospitalisation,Death,FALSE,NA,Human delay,Unspecified,Admission to Care/Hospitalisation to Death,Admission to care to death,Admission to care,NA,NA,15 Nov 2014,18 Jan 2015,15 Nov 2014 - 18 Jan 2015,NA,Range,0 - 18,100,West Africa 2013-2016,Zaire
e0562bbaf514491d4ceaa186d4de88be,8d64ef67bc3a5d6c0b05ac6400144290,65,Ebola virus,Reproduction number (Basic R0),2.01,0,No units,NA,NA,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,Next generation matrix,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Unspecified,NA,NA,NA,NA,NA,Liberia,NA,29,Jun,2014,7,Oct,2014,NA,FALSE,NA,NA,FALSE,NA,Reproduction number,Unspecified,NA,NA,Other,NA,NA,29 Jun 2014,7 Oct 2014,29 Jun 2014 - 7 Oct 2014,NA,NA,NA,85.71428571428571,West Africa 2013-2016,Zaire
5da422b86ae35c5efd2d5864b678b90a,943e413fc6dcb260531c123f7e565e5c,104,Ebola virus,Human delay - Symptom Onset/Fever to Reporting,3.91,0,Days,NA,NA,Mean,NA,NA,3.84,3.98,95% CrI,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Population based,General population,0,NA,17318,Sierra Leone,NA,23,May,2014,31,Jan,2015,NA,FALSE,Symptom Onset/Fever,Reporting,FALSE,NA,Human delay,Unspecified,Symptom Onset/Fever to Reporting,Symptom onset to reporting,Symptom onset,NA,NA,23 May 2014,31 Jan 2015,23 May 2014 - 31 Jan 2015,NA,95% CrI,3.84 - 3.98,75,West Africa 2013-2016,Zaire
5da422b86ae35c5efd2d5864b678b90a,8720d8ef8f292ca26ade6d8b4c1e6175,104,Ebola virus,Human delay - Symptom Onset/Fever to Reporting,4.2,0,Days,NA,NA,Mean,NA,NA,4.09,4.31,95% CrI,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Population based,General population,0,NA,17318,Sierra Leone,NA,23,May,2014,31,Jan,2015,NA,FALSE,Symptom Onset/Fever,Reporting,FALSE,NA,Human delay,Unspecified,Symptom Onset/Fever to Reporting,Symptom onset to reporting,Symptom onset,NA,NA,23 May 2014,31 Jan 2015,23 May 2014 - 31 Jan 2015,NA,95% CrI,4.09 - 4.31,75,West Africa 2013-2016,Zaire
5da422b86ae35c5efd2d5864b678b90a,52dd8d1c88dc93d22186d97a8622e129,104,Ebola virus,Severity - case fatality rate (CFR),74.2,0,Percentage (%),NA,NA,NA,NA,NA,72.6,75.5,95% CrI,2536,3422,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,Naive,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Population based,General population,0,NA,17318,Sierra Leone,NA,23,May,2014,31,Jan,2015,NA,FALSE,NA,NA,FALSE,NA,Severity,Unspecified,NA,NA,Other,NA,NA,23 May 2014,31 Jan 2015,23 May 2014 - 31 Jan 2015,NA,95% CrI,72.6 - 75.5,75,West Africa 2013-2016,Zaire
5da422b86ae35c5efd2d5864b678b90a,d18342e8fe86e8f8e977c47f6d3de77e,104,Ebola virus,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,NA,NA,NA,FALSE,FALSE,Death,Age;Other,NA,Significant,Not adjusted,Both,Population based,General population,0,NA,17318,Sierra Leone,NA,23,May,2014,31,Jan,2015,NA,FALSE,NA,NA,FALSE,NA,Risk factors,Unspecified,NA,NA,Other,NA,NA,23 May 2014,31 Jan 2015,23 May 2014 - 31 Jan 2015,NA,NA,NA,75,West Africa 2013-2016,Zaire
5da422b86ae35c5efd2d5864b678b90a,a12aa099610b1eb83c22767a8bbd766b,104,Ebola virus,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,NA,NA,NA,FALSE,FALSE,Death,Occupation;Sex,Healthcare,Not significant,Not adjusted,Both,Population based,General population,0,NA,17318,Sierra Leone,NA,23,May,2014,31,Jan,2015,NA,FALSE,NA,NA,FALSE,NA,Risk factors,Unspecified,NA,NA,Other,NA,NA,23 May 2014,31 Jan 2015,23 May 2014 - 31 Jan 2015,NA,NA,NA,75,West Africa 2013-2016,Zaire
b9b9512976c34976e3cc87d0bba1dbab,ea7ba4a6cc99bed7b83de0db0018ddce,159,Ebola virus,"Reproduction number (Effective, Re)",NA,0,No units,0.62,1.38,Mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,NA,Growth rate,"Region, Time",TRUE,TRUE,NA,NA,NA,NA,NA,Unspecified,Population based,General population,NA,NA,NA,"Guinea, Liberia, Sierra Leone",NA,25,Mar,2014,22,Mar,2015,NA,FALSE,NA,NA,FALSE,NA,Reproduction number,Unspecified,NA,NA,Other,NA,NA,25 Mar 2014,22 Mar 2015,25 Mar 2014 - 22 Mar 2015,0.62 - 1.38,NA,NA,100,West Africa 2013-2016,Zaire
21836ba8cbf19e6b2666a46dab1a38b0,0c5a3c4ddcff8b6f6f9c24d467c26a31,163,Ebola virus,Human delay - Admission to Care/Hospitalisation to Discharge from Care/Hospital,9,0,Days,NA,NA,Median,NA,NA,6,14,IQR,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,Other,NA,NA,NA,Sierra Leone,"Kerry Town, Western area rural district",5,Nov,2014,31,Mar,2015,NA,FALSE,Admission to Care/Hospitalisation,Discharge from Care/Hospital,FALSE,NA,Human delay,Zaire Ebola virus (EBOV),Admission to Care/Hospitalisation to Discharge from Care/Hospital,Admission to care to discharge from care,Admission to care,NA,NA,5 Nov 2014,31 Mar 2015,5 Nov 2014 - 31 Mar 2015,NA,IQR,6 - 14,85.71428571428571,West Africa 2013-2016,Zaire
21836ba8cbf19e6b2666a46dab1a38b0,d882fc4a48541d141583fd774d43eb7a,163,Ebola virus,Human delay - Admission to Care/Hospitalisation to Death,3,0,Days,NA,NA,Median,NA,NA,2,5,IQR,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,Other,NA,NA,NA,Sierra Leone,"Kerry Town, Western area rural district",5,Nov,2014,31,Mar,2015,NA,FALSE,Admission to Care/Hospitalisation,Death,FALSE,NA,Human delay,Zaire Ebola virus (EBOV),Admission to Care/Hospitalisation to Death,Admission to care to death,Admission to care,NA,NA,5 Nov 2014,31 Mar 2015,5 Nov 2014 - 31 Mar 2015,NA,IQR,2 - 5,85.71428571428571,West Africa 2013-2016,Zaire
21836ba8cbf19e6b2666a46dab1a38b0,a96bf5911ac06314530fb4f5ca91d8d6,163,Ebola virus,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,NA,NA,"Age, Other, Sex",TRUE,FALSE,Death,Age;Other;Sex,Unspecified,Unspecified,Adjusted,Both,Hospital based,General population,NA,NA,263,Sierra Leone,"Kerry Town, Western area rural district",5,Nov,2014,31,Mar,2015,NA,FALSE,NA,NA,FALSE,NA,Risk factors,Zaire Ebola virus (EBOV),NA,NA,Other,NA,NA,5 Nov 2014,31 Mar 2015,5 Nov 2014 - 31 Mar 2015,NA,NA,NA,85.71428571428571,West Africa 2013-2016,Zaire
21836ba8cbf19e6b2666a46dab1a38b0,dce9da30c9c71197b1f4782aa306a3a2,163,Ebola virus,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,NA,NA,"Age, Other, Sex",TRUE,FALSE,Death,Age;Other;Sex,Unspecified,Unspecified,Not adjusted,Both,Hospital based,Unspecified,NA,NA,263,Sierra Leone,"Kerry Town, Western area rural district",5,Nov,2014,31,Mar,2015,NA,FALSE,NA,NA,FALSE,NA,Risk factors,Zaire Ebola virus (EBOV),NA,NA,Other,NA,NA,5 Nov 2014,31 Mar 2015,5 Nov 2014 - 31 Mar 2015,NA,NA,NA,85.71428571428571,West Africa 2013-2016,Zaire
21836ba8cbf19e6b2666a46dab1a38b0,635b1b553a8590d1ae76e4866764b7fe,163,Ebola virus,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,NA,NA,"Age, Other, Sex, Symptoms",TRUE,TRUE,Symptoms,Age;Other;Sex,NA,Unspecified,Adjusted,Both,Hospital based,Unspecified,NA,NA,137,Sierra Leone,"Kerry Town, Western area rural district",5,Nov,2014,31,Mar,2015,NA,FALSE,NA,NA,FALSE,NA,Risk factors,Zaire Ebola virus (EBOV),NA,NA,Other,NA,NA,5 Nov 2014,31 Mar 2015,5 Nov 2014 - 31 Mar 2015,NA,NA,NA,85.71428571428571,West Africa 2013-2016,Zaire
21836ba8cbf19e6b2666a46dab1a38b0,954e75fbeae0fc3b2d58ad56e3b3f8d1,163,Ebola virus,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,NA,NA,"Age, Other, Sex, Symptoms",TRUE,TRUE,Symptoms,Age;Other;Sex,NA,Unspecified,Not adjusted,Both,Hospital based,Unspecified,NA,NA,137,Sierra Leone,"Kerry Town, Western area rural district",5,Nov,2014,31,Mar,2015,NA,FALSE,NA,NA,FALSE,NA,Risk factors,Zaire Ebola virus (EBOV),NA,NA,Other,NA,NA,5 Nov 2014,31 Mar 2015,5 Nov 2014 - 31 Mar 2015,NA,NA,NA,85.71428571428571,West Africa 2013-2016,Zaire
ed0e08136610e0af3deb0cc28641019f,768dd11108e8a4cbbca8088b57097683,199,Ebola virus,Mutations - evolutionary rate,0.96,-3,Substitutions/site/year,0.5,0.963,Mean,NA,NA,0.86,1.06,95% CrI,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,TRUE,End outbreak,NA,NA,Other,TRUE,FALSE,NA,NA,NA,NA,NA,Unspecified,Unspecified,Unspecified,NA,NA,NA,Sierra Leone,Sierra Leone,NA,May,2014,NA,Sep,2015,Whole genome,TRUE,NA,NA,FALSE,NA,Mutations,Unspecified,NA,NA,Other,NA,NA,May 2014,Sep 2015,May 2014 - Sep 2015,0.5 - 0.963,95% CrI,0.86 - 1.06,100,West Africa 2013-2016,Zaire
b7dcb6041b1754b426913d1c3aa2b993,9b44a060b9f0590456ced01c6a919ed0,206,Ebola virus,"Reproduction number (Effective, Re)",NA,0,No units,1.1,2.13,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,NA,Compartmental model,Time,TRUE,TRUE,NA,NA,NA,NA,NA,Unspecified,NA,NA,NA,NA,NA,Sierra Leone,NA,22,May,2014,3,Dec,2014,NA,FALSE,NA,NA,FALSE,NA,Reproduction number,Unspecified,NA,NA,Other,NA,NA,22 May 2014,3 Dec 2014,22 May 2014 - 3 Dec 2014,1.1 - 2.13,NA,NA,57.14285714285714,West Africa 2013-2016,Zaire
